solution index,tabu size,T,Tf,alpha,K,neighbor_percentage,greedy Z1,hybrid Z1,normalized hybrid Z1,greedy Z2,hybrid Z2,normalized hybrid Z2,greedy Z3,hybrid Z3,normalized hybrid Z3,greedy multi objective value,hybrid multi objective value,normalized hybrid multi objective value,w1,w2,w3,weighted multi objective value,optimization running time,open/close status of facilities
1,13,103,50,0.919091,12,0.638889,-12682421416.709145,-12677768023.700544,-29.19442005925136,26362856.39116043,25992249.496853735,0.40232424423293034,1143508943.952072,1147691332.5557053,35.92304441852351,-11424097809.282473,-11412486720.855082,6.229159289363934,0.908,0.066,0.026,2.813567504055465,1342.39,"[[0, 1, 0, 0, 1, 1, 0, 0, 1, 0, 1, 1, 1, 0, 0, 0, 1, 0, 1, 0, 1, 1], [1, 1, 1, 0, 0, 0, 0, 1, 1, 1, 1, 1, 1, 0, 1, 1, 0, 0, 0, 1, 1, 0], [1, 1, 1, 0, 0, 1, 1, 1, 0, 1, 0, 1, 1, 1, 1, 1, 0, 0, 1, 1, 0, 0], [0, 0, 1, 1, 1, 0, 0, 0, 1, 1, 1, 0, 0, 1, 1, 1, 1, 0, 0, 1, 1, 1]]"
2,13,103,50,0.919091,12,0.638889,-12682421416.709145,-12672231343.224669,-29.18057835806167,26362856.39116043,25621985.35192245,0.3958169657631362,1143508943.952072,1146783980.1823242,35.89279933941081,-11424097809.282473,-11413259758.286669,6.2295887546037045,0.909,0.026,0.065,2.8057082144433583,1342.39,"[[1, 1, 0, 0, 1, 1, 0, 0, 1, 0, 0, 1, 1, 0, 0, 0, 1, 0, 1, 0, 1, 1], [1, 1, 1, 0, 0, 0, 1, 0, 1, 1, 1, 1, 1, 0, 1, 1, 0, 0, 0, 1, 1, 0], [1, 1, 1, 1, 0, 1, 1, 1, 1, 1, 0, 1, 1, 0, 1, 0, 0, 0, 1, 1, 0, 0], [0, 0, 1, 0, 1, 0, 0, 0, 0, 1, 1, 1, 1, 1, 1, 1, 1, 0, 0, 1, 1, 1]]"
3,13,103,50,0.919091,12,0.638889,-12682421416.709145,-12679576916.444937,-29.198942291112342,26362856.39116043,25891460.576981448,0.4005529099645246,1143508943.952072,1142032823.7545557,35.73442745848519,-11424097809.282473,-11418476468.508127,6.23248692694896,0.828,0.123,0.049,2.7270245166632883,1342.39,"[[0, 1, 0, 1, 0, 0, 0, 0, 1, 1, 1, 1, 1, 0, 0, 1, 0, 0, 1, 1, 0, 1], [1, 1, 0, 0, 1, 1, 0, 1, 0, 1, 1, 1, 1, 1, 0, 0, 1, 1, 1, 0, 0, 0], [1, 1, 1, 1, 0, 0, 1, 1, 1, 0, 1, 0, 1, 0, 1, 1, 1, 1, 0, 0, 1, 0], [0, 1, 1, 0, 0, 1, 1, 1, 0, 0, 0, 1, 1, 1, 1, 0, 1, 0, 1, 1, 1, 0]]"
4,13,103,50,0.919091,12,0.638889,-12682421416.709145,-12670657222.963198,-29.176643057407993,26362856.39116043,25307083.48086457,0.3902826622296058,1143508943.952072,1146824220.31839,35.894140677279665,-11424097809.282473,-11407281378.498947,6.226267432499415,0.788,0.182,0.03,2.807555992521875,1342.39,"[[1, 1, 0, 0, 1, 1, 0, 0, 1, 0, 0, 1, 1, 0, 0, 1, 0, 0, 1, 0, 1, 1], [1, 1, 1, 0, 0, 0, 1, 0, 1, 1, 1, 1, 1, 0, 1, 1, 0, 0, 0, 1, 1, 0], [1, 1, 1, 1, 0, 1, 1, 1, 1, 1, 0, 1, 1, 0, 0, 1, 0, 0, 1, 1, 0, 0], [0, 0, 1, 0, 1, 0, 0, 0, 0, 1, 1, 1, 1, 1, 1, 1, 1, 0, 0, 1, 1, 1]]"
5,13,103,50,0.919091,12,0.638889,-12682421416.709145,-12669618265.90532,-29.174045664763298,26362856.39116043,25468141.27946215,0.39311320350548595,1143508943.952072,1146606679.749344,35.886889324978135,-11424097809.282473,-11403080123.855574,6.223933402141985,0.58,0.249,0.171,2.805773844741463,1342.39,"[[0, 1, 0, 0, 0, 0, 1, 0, 1, 0, 1, 1, 1, 0, 1, 1, 0, 1, 1, 1, 0, 0], [1, 0, 1, 1, 0, 1, 0, 0, 1, 1, 0, 0, 1, 1, 0, 1, 1, 1, 0, 1, 0, 1], [1, 1, 1, 1, 1, 1, 1, 0, 0, 0, 1, 1, 1, 1, 0, 0, 1, 0, 1, 0, 1, 0], [0, 0, 0, 0, 0, 1, 1, 0, 1, 0, 1, 1, 0, 1, 1, 1, 1, 1, 0, 1, 1, 1]]"
6,13,103,50,0.919091,12,0.638889,-12682421416.709145,-12672835134.813124,-29.18208783703281,26362856.39116043,27068185.672647264,0.4212334916106725,1143508943.952072,1156914073.53688,36.230469117896,-11424097809.282473,-11398494053.667173,6.221385585370652,0.558,0.28,0.161,2.958450612027427,1342.39,"[[1, 1, 0, 0, 0, 1, 0, 1, 1, 1, 0, 1, 1, 0, 1, 0, 0, 1, 1, 0, 0, 0], [0, 1, 1, 1, 0, 1, 1, 0, 1, 0, 1, 0, 1, 1, 0, 1, 1, 0, 0, 0, 1, 1], [1, 1, 1, 0, 1, 1, 1, 0, 0, 1, 0, 1, 1, 0, 1, 1, 1, 0, 1, 1, 0, 0], [0, 0, 1, 0, 0, 1, 1, 0, 1, 1, 1, 0, 0, 1, 1, 1, 1, 1, 1, 0, 0, 1]]"
7,13,103,50,0.919091,12,0.638889,-12682421416.709145,-12664597706.311714,-29.161494265779286,26362856.39116043,27630103.329341456,0.431109021605298,1143508943.952072,1147377008.851017,35.91256696170057,-11424097809.282473,-11390128451.16231,6.216738028423506,0.468,0.431,0.101,2.826686225067899,1342.39,"[[1, 0, 0, 0, 1, 1, 1, 0, 1, 1, 0, 0, 0, 0, 1, 1, 0, 0, 1, 0, 1, 1], [1, 1, 1, 0, 1, 0, 1, 1, 1, 0, 1, 1, 0, 0, 1, 0, 0, 1, 0, 1, 0, 1], [1, 1, 0, 1, 1, 0, 1, 0, 0, 0, 0, 1, 1, 1, 1, 1, 0, 0, 1, 1, 1, 1], [0, 0, 1, 1, 1, 0, 1, 0, 0, 1, 1, 0, 1, 0, 1, 1, 1, 1, 1, 0, 1, 0]]"
8,13,103,50,0.919091,12,0.638889,-12682421416.709145,-12674266563.857128,-29.18566640964282,26362856.39116043,26776758.095416393,0.41611174157146563,1143508943.952072,1153401724.1158154,36.11339080386051,-11424097809.282473,-11401794154.71942,6.223218974844122,0.451,0.46,0.088,2.903986423612169,1342.39,"[[0, 1, 0, 0, 1, 1, 1, 0, 1, 1, 0, 1, 1, 0, 0, 1, 0, 1, 1, 0, 0, 0], [1, 1, 1, 1, 0, 1, 1, 0, 1, 1, 0, 0, 1, 1, 0, 1, 1, 0, 0, 0, 0, 1], [1, 1, 1, 0, 1, 1, 1, 0, 0, 1, 0, 1, 1, 0, 1, 1, 1, 0, 1, 0, 1, 0], [0, 0, 1, 0, 0, 1, 1, 0, 1, 1, 1, 0, 0, 1, 1, 1, 1, 1, 0, 1, 0, 1]]"
9,13,103,50,0.919091,12,0.638889,-12682421416.709145,-12679010637.404892,-29.19752659351223,26362856.39116043,25645080.504583918,0.39622285596808293,1143508943.952072,1149641712.9798481,35.98805709932827,-11424097809.282473,-11414508400.785967,6.230282444881093,0.664,0.069,0.267,2.840616763236545,1342.39,"[[1, 1, 0, 0, 1, 1, 0, 0, 1, 0, 1, 1, 1, 0, 0, 0, 1, 0, 0, 0, 1, 1], [1, 1, 1, 0, 0, 0, 0, 1, 1, 1, 1, 1, 1, 0, 1, 1, 0, 0, 0, 1, 1, 0], [1, 1, 1, 1, 0, 1, 1, 1, 0, 1, 0, 1, 1, 1, 1, 0, 0, 0, 1, 1, 0, 0], [0, 0, 1, 0, 1, 0, 0, 0, 1, 1, 1, 1, 0, 1, 1, 1, 1, 0, 0, 1, 1, 1]]"
10,13,103,50,0.919091,12,0.638889,-12682421416.709145,-12672401111.726896,-29.18100277931724,26362856.39116043,26728925.1701079,0.41527109262052553,1143508943.952072,1147120517.694195,35.90401725647317,-11424097809.282473,-11396026767.892649,6.220014871051472,0.493,0.379,0.127,2.812436016130972,1342.39,"[[0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 1, 1, 0, 1, 1, 1, 0, 0, 1, 1, 1, 1], [1, 1, 1, 1, 0, 0, 1, 0, 1, 0, 1, 1, 1, 0, 1, 0, 0, 1, 1, 0, 0, 1], [1, 1, 1, 1, 0, 1, 0, 1, 1, 0, 0, 0, 0, 0, 1, 1, 1, 1, 1, 1, 1, 0], [0, 0, 0, 1, 1, 1, 0, 1, 1, 0, 1, 0, 0, 1, 0, 1, 1, 1, 1, 1, 1, 0]]"
