solution index,tabu size,T,Tf,alpha,K,neighbor_percentage,greedy Z1,hybrid Z1,normalized hybrid Z1,greedy Z2,hybrid Z2,normalized hybrid Z2,greedy Z3,hybrid Z3,normalized hybrid Z3,greedy multi objective value,hybrid multi objective value,normalized hybrid multi objective value,w1,w2,w3,weighted multi objective value,optimization running time,open/close status of facilities
1,13,103,50,0.919091,12,0.638889,-6899202053.663346,-6894428687.505362,-14.736071718763403,15311579.484729527,15143946.284172667,0.21166865174292912,631409232.1069965,635286601.2105258,18.842886707017524,-6200326153.662511,-6189422697.263526,3.327457054035292,0.9,0.041,0.059,-10.181763531600906,577.47,"[[1, 0, 1, 1, 0, 0, 1, 1, 0, 1, 0, 1, 0, 1, 0, 1, 0, 0], [0, 1, 0, 1, 0, 0, 1, 1, 0, 1, 1, 0, 1, 1, 1, 1, 0, 1], [1, 0, 0, 1, 1, 1, 0, 0, 1, 1, 1, 0, 0, 1, 1, 0, 1, 1], [0, 1, 0, 0, 0, 1, 1, 0, 1, 1, 0, 1, 1, 1, 1, 0, 1, 1]]"
2,13,103,50,0.919091,12,0.638889,-6899202053.663346,-6893713648.305418,-14.734284120763546,15311579.484729527,14445273.806047438,0.19938969782157184,631409232.1069965,635529312.8960572,18.850977096535242,-6200326153.662511,-6197183553.564358,3.331768640869088,0.836,0.152,0.012,-10.183541617165567,577.47,"[[1, 1, 1, 0, 0, 0, 0, 1, 1, 1, 0, 1, 0, 0, 0, 1, 1, 0], [0, 0, 0, 1, 1, 1, 0, 1, 1, 1, 1, 1, 1, 0, 0, 1, 0, 1], [0, 0, 1, 1, 0, 1, 0, 1, 1, 1, 0, 1, 1, 1, 0, 0, 1, 1], [1, 1, 0, 0, 1, 0, 0, 0, 1, 1, 0, 1, 1, 1, 1, 1, 0, 1]]"
3,13,103,50,0.919091,12,0.638889,-6899202053.663346,-6892542897.034255,-14.731357242585638,15311579.484729527,14941471.864016838,0.20811022608113952,631409232.1069965,638383431.5459305,18.94611438486435,-6200326153.662511,-6186964423.686907,3.326091346492726,0.753,0.245,0.002,-10.177344804873393,577.47,"[[1, 0, 1, 1, 0, 1, 0, 1, 0, 1, 0, 1, 0, 1, 0, 1, 0, 0], [0, 1, 0, 1, 0, 0, 1, 1, 0, 1, 1, 0, 1, 1, 1, 1, 0, 1], [1, 0, 0, 1, 1, 1, 0, 0, 1, 1, 1, 0, 0, 1, 1, 0, 1, 1], [0, 1, 0, 0, 0, 1, 1, 1, 0, 1, 0, 1, 1, 1, 1, 0, 1, 1]]"
4,13,103,50,0.919091,12,0.638889,-6899202053.663346,-6904908128.899107,-14.762270322247767,15311579.484729527,15358737.575403418,0.21544354262571913,631409232.1069965,635939397.0879831,18.864646569599437,-6200326153.662511,-6200465583.347652,3.3335919907486957,0.763,0.196,0.041,-10.199197868705815,577.47,"[[1, 1, 0, 1, 1, 1, 0, 0, 0, 0, 1, 1, 0, 0, 0, 1, 1, 0], [1, 0, 1, 1, 1, 1, 0, 0, 1, 0, 0, 1, 1, 1, 0, 1, 1, 0], [0, 0, 1, 1, 1, 1, 0, 1, 1, 0, 1, 1, 0, 1, 0, 1, 1, 0], [1, 0, 0, 0, 1, 1, 0, 1, 1, 0, 0, 1, 1, 1, 1, 0, 1, 1]]"
5,13,103,50,0.919091,12,0.638889,-6899202053.663346,-6889544694.858724,-14.723861737146809,15311579.484729527,14399416.318798,0.1985837665869596,631409232.1069965,635020344.5713979,18.834011485713262,-6200326153.662511,-6198222865.225496,3.332346036236387,0.819,0.092,0.088,-10.17658142393422,577.47,"[[1, 1, 1, 0, 0, 0, 0, 1, 1, 1, 0, 1, 0, 0, 0, 1, 1, 0], [1, 0, 0, 1, 1, 1, 0, 1, 0, 1, 1, 1, 1, 0, 0, 1, 0, 1], [0, 1, 1, 1, 0, 1, 0, 1, 1, 1, 0, 0, 1, 1, 0, 0, 1, 1], [1, 1, 0, 0, 1, 1, 0, 0, 0, 1, 0, 1, 1, 1, 1, 1, 0, 1]]"
6,13,103,50,0.919091,12,0.638889,-6899202053.663346,-6899593169.293056,-14.748982923232639,15311579.484729527,14989323.205439346,0.20895119868961945,631409232.1069965,638879722.8209534,18.962657427365112,-6200326153.662511,-6194055496.489135,3.3300308313828526,0.719,0.262,0.019,-10.18948301662765,577.47,"[[0, 1, 1, 0, 0, 0, 0, 1, 1, 1, 0, 1, 0, 1, 0, 1, 1, 0], [0, 0, 0, 1, 1, 1, 0, 1, 1, 1, 1, 1, 0, 1, 0, 1, 0, 1], [0, 0, 1, 1, 0, 1, 0, 1, 0, 1, 0, 1, 1, 1, 1, 0, 1, 1], [1, 1, 0, 1, 0, 0, 0, 1, 1, 1, 0, 1, 0, 1, 1, 1, 0, 1]]"
7,13,103,50,0.919091,12,0.638889,-6899202053.663346,-6897184088.347868,-14.74296022086967,15311579.484729527,15053868.70800658,0.21008556604580983,631409232.1069965,640950258.9738235,19.03167529912745,-6200326153.662511,-6189431027.437659,3.327461681909811,0.849,0.028,0.123,-10.18354414981787,577.47,"[[1, 1, 1, 1, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 1, 1], [1, 1, 0, 1, 0, 0, 1, 1, 0, 0, 1, 1, 0, 1, 1, 1, 0, 1], [1, 1, 1, 1, 1, 1, 0, 0, 1, 1, 1, 1, 0, 0, 1, 0, 0, 0], [1, 1, 1, 0, 0, 1, 1, 0, 1, 1, 0, 0, 0, 1, 1, 0, 1, 1]]"
8,13,103,50,0.919091,12,0.638889,-6899202053.663346,-6897350389.137072,-14.74337597284268,15311579.484729527,15238407.713720566,0.21332878231494842,631409232.1069965,634352715.4945449,18.811757183151496,-6200326153.662511,-6193011568.461082,3.329450871367268,0.687,0.268,0.045,-10.187171797027492,577.47,"[[1, 0, 0, 1, 0, 1, 0, 1, 0, 1, 1, 0, 1, 0, 0, 1, 1, 0], [0, 1, 0, 1, 0, 1, 1, 1, 1, 1, 1, 1, 0, 0, 0, 1, 0, 1], [1, 1, 0, 0, 0, 1, 0, 0, 1, 1, 1, 1, 1, 1, 0, 0, 1, 1], [1, 0, 1, 0, 0, 1, 1, 1, 0, 0, 0, 1, 1, 1, 1, 1, 1, 0]]"
9,13,103,50,0.919091,12,0.638889,-6899202053.663346,-6893442099.1071825,-14.733605247767956,15311579.484729527,14490838.469338955,0.20019048276518375,631409232.1069965,638929949.1173365,18.964331637244552,-6200326153.662511,-6189647371.933512,3.3275818732963955,0.633,0.313,0.053,-10.180689965553034,577.47,"[[1, 1, 1, 0, 0, 0, 0, 1, 1, 1, 0, 1, 0, 1, 0, 0, 1, 0], [0, 0, 0, 1, 1, 1, 0, 1, 1, 1, 1, 1, 1, 0, 0, 1, 0, 1], [0, 0, 1, 1, 0, 1, 0, 1, 1, 1, 0, 1, 1, 1, 0, 0, 1, 1], [1, 1, 0, 1, 0, 0, 0, 1, 1, 1, 0, 1, 0, 1, 1, 1, 0, 1]]"
10,13,103,50,0.919091,12,0.638889,-6899202053.663346,-6902828091.926403,-14.757070229816007,15311579.484729527,15725160.527136756,0.22188331330644562,631409232.1069965,633843553.1626225,18.794785105420747,-6200326153.662511,-6203408817.541273,3.335227120856263,0.612,0.329,0.059,-10.195099150148428,577.47,"[[0, 1, 0, 1, 0, 1, 0, 0, 1, 1, 1, 1, 0, 0, 0, 1, 0, 1], [0, 0, 1, 1, 1, 0, 0, 1, 1, 0, 1, 1, 1, 1, 0, 1, 1, 0], [1, 0, 1, 1, 1, 0, 0, 0, 1, 1, 0, 1, 0, 1, 1, 1, 0, 1], [0, 0, 0, 1, 1, 1, 0, 1, 1, 1, 0, 1, 0, 0, 1, 1, 1, 1]]"
