,1,2,3,4
1,100000.13586768281,100000.76152447607,100000.22085903713,100000.6967967714
2,100000.80946074925,100000.27256100037,100000.5084999239,100000.42229305222
3,100000.05466438063,100000.74160632584,100000.80871709557,100000.5381318023
4,100000.75933247934,100000.04108538436,100000.18226040903,100000.5670984748
5,100000.62120512089,100000.78201887653,100000.60148993568,100000.56026797036
6,100000.66962190883,100000.18539194141,100000.14813176416,100000.23339778511
7,100000.88660660476,100000.62684085661,100000.65717305739,100000.3063987452
8,100000.25904924423,100000.59708547122,100000.2149257851,100000.93549031302
9,100000.80367573499,100000.07764744268,100000.17487039382,100000.48716782872
10,100000.26933734729,100000.29020006374,100000.96136886298,100000.3420574059
11,100000.83589603858,100000.34459277258,100000.72144728269,100000.18399247726
12,100000.68595229082,100000.57425326132,100000.72787776293,100000.43689447021
13,100000.9488619206,100000.98993373677,100000.37840518686,100000.75586428898
14,100000.93392627449,100000.81266466675,100000.44965008774,100000.00196731332
15,100000.94676797483,100000.34939166158,100000.03703511173,100000.24443485487
