solution index,tabu size,T,Tf,alpha,K,neighbor_percentage,greedy Z1,hybrid Z1,normalized hybrid Z1,greedy Z2,hybrid Z2,normalized hybrid Z2,greedy Z3,hybrid Z3,normalized hybrid Z3,greedy multi objective value,hybrid multi objective value,normalized hybrid multi objective value,w1,w2,w3,weighted multi objective value,optimization running time,open/close status of facilities
1,13,103,50,0.919091,12,0.638889,-5991707841.931403,-5994541612.14312,-12.4863540303578,11838797.975767156,12625594.633421142,0.16740939601794624,559754524.9092389,552582073.1331033,16.086069104436774,-5377088634.615338,-5382689154.091721,2.879271752273178,0.695,0.29,0.015,-7.806508993775427,270.52,"[[1, 1, 0, 1, 1, 0, 0, 1, 0, 1, 1, 1, 0, 0, 0], [0, 0, 1, 1, 1, 1, 1, 0, 1, 0, 1, 0, 1, 0, 1], [1, 1, 0, 1, 0, 1, 1, 1, 1, 0, 0, 1, 0, 1, 1], [1, 0, 1, 0, 0, 0, 1, 1, 0, 1, 1, 0, 1, 1, 1]]"
2,13,103,50,0.919091,12,0.638889,-5991707841.931403,-5988730621.833751,-12.471826554584377,11838797.975767156,12550763.168402364,0.16609425603519093,559754524.9092389,559363857.6086684,16.312128586955616,-5377088634.615338,-5372545150.722801,2.8736361948460005,0.644,0.345,0.011,-7.795120368363685,270.52,"[[1, 0, 1, 1, 0, 1, 0, 0, 0, 0, 1, 0, 1, 1, 1], [1, 1, 1, 1, 1, 1, 1, 0, 0, 1, 0, 1, 0, 0, 0], [1, 1, 1, 0, 1, 1, 0, 1, 0, 0, 1, 1, 1, 0, 1], [1, 0, 0, 0, 1, 0, 1, 1, 0, 1, 0, 1, 1, 1, 1]]"
3,13,103,50,0.919091,12,0.638889,-5991707841.931403,-5987290064.838068,-12.46822516209517,11838797.975767156,12425259.671279177,0.16388857067274476,559754524.9092389,558038837.9070745,16.26796126356915,-5377088634.615338,-5373846242.395506,2.8743590235530587,0.749,0.102,0.15,-7.794047873607933,270.52,"[[1, 1, 1, 1, 0, 0, 1, 0, 0, 1, 0, 1, 0, 1, 0], [0, 1, 0, 1, 1, 0, 1, 0, 1, 0, 0, 1, 1, 1, 1], [1, 1, 0, 1, 0, 0, 1, 1, 0, 1, 1, 0, 1, 1, 1], [1, 1, 1, 0, 0, 0, 0, 1, 0, 1, 1, 1, 0, 1, 1]]"
4,13,103,50,0.919091,12,0.638889,-5991707841.931403,-5987779854.125442,-12.469449635313604,11838797.975767156,12206083.801614199,0.16003662217248152,559754524.9092389,558428029.6469535,16.280934321565116,-5377088634.615338,-5373509052.056864,2.8741716955871466,0.733,0.129,0.139,-7.796022652955239,270.52,"[[1, 1, 1, 0, 0, 0, 0, 1, 0, 1, 0, 0, 1, 1, 1], [1, 1, 1, 0, 1, 1, 1, 0, 0, 0, 1, 1, 0, 0, 1], [0, 1, 1, 0, 0, 0, 1, 1, 1, 1, 1, 0, 1, 1, 1], [1, 1, 0, 0, 0, 0, 0, 1, 0, 1, 1, 1, 1, 1, 1]]"
5,13,103,50,0.919091,12,0.638889,-5991707841.931403,-5984564580.134111,-12.461411450335278,11838797.975767156,12416853.49419166,0.16374083469581124,559754524.9092389,553519840.4486246,16.117328014954154,-5377088634.615338,-5374993915.791245,2.8749966198840253,0.701,0.156,0.142,-7.791367777881369,270.52,"[[1, 1, 1, 0, 0, 0, 1, 0, 0, 1, 0, 0, 1, 1, 1], [0, 1, 1, 1, 1, 1, 1, 0, 0, 0, 1, 1, 0, 0, 1], [0, 1, 1, 0, 0, 1, 0, 1, 1, 1, 1, 0, 1, 1, 1], [1, 1, 0, 0, 0, 0, 0, 1, 1, 1, 1, 0, 1, 1, 1]]"
6,13,103,50,0.919091,12,0.638889,-5991707841.931403,-5993487989.202952,-12.48371997300738,11838797.975767156,12597110.777759513,0.16690880101510566,559754524.9092389,555398062.8283535,16.179935427611785,-5377088634.615338,-5379782250.901637,2.877656806056465,0.566,0.368,0.065,-7.803952836562811,270.52,"[[1, 1, 0, 1, 1, 0, 0, 1, 0, 1, 1, 1, 0, 0, 0], [0, 0, 1, 1, 1, 1, 1, 0, 1, 0, 1, 0, 1, 0, 1], [1, 1, 1, 0, 0, 1, 1, 1, 1, 0, 0, 1, 0, 1, 1], [1, 1, 1, 0, 0, 0, 0, 1, 0, 1, 1, 0, 1, 1, 1]]"
7,13,103,50,0.919091,12,0.638889,-5991707841.931403,-5984681952.754406,-12.461704881886014,11838797.975767156,12616238.969446935,0.16724497310100062,559754524.9092389,556198853.6550651,16.206628455168836,-5377088634.615338,-5371343751.314828,2.8729687507304598,0.555,0.389,0.056,-7.789365515207891,270.52,"[[0, 0, 1, 0, 0, 1, 1, 1, 0, 0, 1, 1, 0, 1, 1], [0, 1, 1, 0, 1, 1, 1, 0, 0, 1, 1, 1, 0, 0, 1], [1, 1, 1, 0, 1, 1, 1, 0, 0, 0, 1, 1, 1, 0, 1], [1, 0, 0, 0, 0, 0, 1, 1, 1, 1, 0, 1, 1, 1, 1]]"
8,13,103,50,0.919091,12,0.638889,-5991707841.931403,-5990960692.115336,-12.47740173028834,11838797.975767156,12426813.09728444,0.16391587165702004,559754524.9092389,555630829.1879941,16.187694306266472,-5377088634.615338,-5380805815.202024,2.8782254528900135,0.548,0.381,0.071,-7.800831101215089,270.52,"[[1, 1, 1, 0, 0, 1, 0, 1, 0, 1, 0, 0, 1, 0, 1], [0, 1, 1, 0, 1, 1, 1, 0, 1, 1, 1, 1, 0, 0, 0], [0, 1, 1, 0, 1, 1, 0, 1, 1, 1, 1, 1, 0, 1, 0], [1, 0, 0, 0, 0, 0, 1, 1, 1, 1, 0, 1, 1, 1, 1]]"
9,13,103,50,0.919091,12,0.638889,-5991707841.931403,-5992780821.080901,-12.481952052702253,11838797.975767156,12364748.161099335,0.1628250994920797,559754524.9092389,550570774.6667715,16.019025822225718,-5377088634.615338,-5383207873.42499,2.87955992968055,0.475,0.508,0.017,-7.805993178571,270.52,"[[1, 1, 1, 0, 0, 0, 0, 1, 0, 1, 1, 0, 1, 0, 1], [0, 1, 1, 0, 1, 1, 1, 0, 0, 1, 1, 1, 0, 1, 0], [0, 0, 1, 0, 1, 1, 0, 1, 1, 1, 1, 0, 1, 1, 1], [1, 0, 0, 0, 0, 0, 1, 1, 1, 1, 1, 0, 1, 1, 1]]"
10,13,103,50,0.919091,12,0.638889,-5991707841.931403,-5988463214.764386,-12.471158036910966,11838797.975767156,12521569.21627482,0.16558118130535712,559754524.9092389,557547126.6539327,16.251570888464425,-5377088634.615338,-5373892759.590091,2.8743848664389393,0.584,0.311,0.105,-7.7955329884472055,270.52,"[[1, 0, 1, 0, 0, 1, 1, 1, 0, 0, 1, 1, 0, 0, 1], [0, 1, 1, 0, 1, 1, 1, 0, 0, 1, 1, 1, 0, 0, 1], [1, 1, 1, 0, 1, 1, 0, 1, 0, 0, 1, 1, 1, 0, 1], [1, 0, 0, 0, 0, 0, 1, 1, 1, 1, 0, 1, 1, 1, 1]]"
