solution index,tabu size,T,Tf,alpha,K,neighbor_percentage,greedy Z1,hybrid Z1,normalized hybrid Z1,greedy Z2,hybrid Z2,normalized hybrid Z2,greedy Z3,hybrid Z3,normalized hybrid Z3,greedy multi objective value,hybrid multi objective value,normalized hybrid multi objective value,w1,w2,w3,weighted multi objective value,optimization running time,open/close status of facilities
1,13,103,50,0.919091,12,0.638889,-5140363104.551242,-5142033943.818165,-10.355084859545412,11381217.422044165,11450132.627290316,0.1467510127819036,478995209.59896296,483494619.7007754,13.783153990025847,-4617441955.750378,-4615383794.341878,2.452990996856599,0.62,0.375,0.005,-0.9899069741980782,242.96,"[[0, 1, 0, 1, 0, 1, 1, 0, 0, 1, 1, 1], [1, 0, 1, 1, 0, 1, 1, 0, 1, 1, 0, 1], [1, 0, 0, 1, 1, 1, 1, 0, 0, 1, 1, 1], [0, 0, 1, 1, 1, 0, 1, 1, 1, 1, 0, 1]]"
2,13,103,50,0.919091,12,0.638889,-5140363104.551242,-5132671430.790938,-10.331678576977346,11381217.422044165,12566905.220201902,0.1663779476309649,478995209.59896296,480046968.6284286,13.668232287614286,-4617441955.750378,-4607372372.207578,2.4485402067819875,0.666,0.254,0.081,-1.0153750589139774,242.96,"[[1, 0, 1, 0, 1, 1, 0, 1, 0, 1, 1, 0], [1, 1, 1, 1, 0, 1, 0, 0, 1, 1, 1, 0], [1, 0, 0, 0, 1, 1, 1, 1, 0, 1, 1, 1], [1, 1, 1, 1, 0, 1, 0, 0, 1, 1, 0, 1]]"
3,13,103,50,0.919091,12,0.638889,-5140363104.551242,-5138732664.323568,-10.34683166080892,11381217.422044165,11884819.260669928,0.15439049667258223,478995209.59896296,472172381.01269835,13.405746033756612,-4617441955.750378,-4622404638.488348,2.45689146582686,0.572,0.404,0.023,-1.1170730066304904,242.96,"[[1, 0, 1, 1, 1, 1, 0, 0, 1, 0, 1, 0], [1, 1, 1, 0, 1, 1, 0, 0, 1, 0, 1, 1], [1, 1, 0, 1, 1, 1, 0, 1, 0, 1, 0, 1], [1, 0, 1, 0, 1, 1, 1, 1, 0, 1, 1, 0]]"
4,13,103,50,0.919091,12,0.638889,-5140363104.551242,-5125151443.629983,-10.312878609074957,11381217.422044165,12166582.825954622,0.15934240467407068,478995209.59896296,472344122.52019036,13.411470750673011,-4617441955.750378,-4606402829.2954235,2.448001571830791,0.553,0.406,0.042,-1.0954931976347533,242.96,"[[1, 0, 1, 0, 0, 1, 0, 1, 0, 1, 1, 1], [1, 1, 1, 0, 1, 1, 0, 1, 1, 0, 1, 0], [1, 0, 0, 1, 1, 0, 1, 1, 0, 1, 1, 1], [1, 1, 1, 1, 0, 1, 1, 0, 1, 0, 0, 1]]"
5,13,103,50,0.919091,12,0.638889,-5140363104.551242,-5128331777.003946,-10.320829442509865,11381217.422044165,12410669.318828417,0.1636321497157894,478995209.59896296,472286924.4131177,13.409564147103923,-4617441955.750378,-4612524858.772888,2.451402699318271,0.589,0.312,0.099,-1.1002820572162442,242.96,"[[1, 0, 0, 1, 1, 0, 0, 1, 1, 1, 1, 0], [1, 1, 0, 1, 1, 0, 1, 1, 1, 0, 1, 0], [1, 1, 1, 1, 1, 0, 0, 0, 1, 1, 1, 0], [1, 1, 0, 0, 0, 1, 1, 0, 1, 1, 1, 1]]"
6,13,103,50,0.919091,12,0.638889,-5140363104.551242,-5138880749.144369,-10.347201872860923,11381217.422044165,11600448.600592671,0.14939276978194502,478995209.59896296,472245869.26557046,13.408195642185682,-4617441955.750378,-4619355304.19352,2.455197391218622,0.486,0.478,0.036,-1.11684680045492,242.96,"[[0, 0, 1, 0, 1, 1, 1, 0, 1, 0, 1, 1], [0, 1, 1, 1, 0, 0, 1, 1, 1, 0, 1, 1], [1, 1, 0, 1, 1, 0, 0, 1, 1, 0, 1, 1], [1, 0, 0, 1, 1, 1, 1, 1, 0, 1, 1, 0]]"
7,13,103,50,0.919091,12,0.638889,-5140363104.551242,-5133628347.237974,-10.334070868094935,11381217.422044165,11907360.667559827,0.15478665496590205,478995209.59896296,473197834.4530997,13.439927815103324,-4617441955.750378,-4614556871.59747,2.4525315953319278,0.747,0.007,0.245,-1.0978444408321746,242.96,"[[1, 0, 0, 1, 1, 0, 0, 1, 0, 1, 1, 1], [0, 0, 1, 0, 1, 1, 0, 1, 1, 1, 1, 1], [1, 0, 0, 1, 1, 1, 1, 0, 1, 1, 1, 0], [1, 1, 1, 1, 0, 1, 0, 1, 1, 0, 0, 1]]"
8,13,103,50,0.919091,12,0.638889,-5140363104.551242,-5130575678.533508,-10.326439196333771,11381217.422044165,12281777.596914133,0.16136691734471237,478995209.59896296,470048852.5363533,13.334961751211777,-4617441955.750378,-4615263986.603963,2.4529244370022014,0.564,0.327,0.109,-1.129823944082612,242.96,"[[0, 0, 0, 1, 1, 1, 0, 1, 0, 1, 1, 1], [0, 1, 1, 1, 0, 1, 1, 1, 0, 0, 1, 1], [1, 1, 0, 1, 1, 1, 0, 0, 1, 0, 1, 1], [1, 1, 0, 0, 1, 1, 1, 0, 0, 1, 1, 1]]"
9,13,103,50,0.919091,12,0.638889,-5140363104.551242,-5130455055.760724,-10.32613763940181,11381217.422044165,12334222.274938397,0.16228861643125478,478995209.59896296,476689172.29870707,13.556305743290235,-4617441955.750378,-4608258398.437371,2.4490324435763173,0.564,0.296,0.14,-1.0518837803310923,242.96,"[[1, 0, 1, 0, 1, 1, 0, 0, 1, 1, 1, 0], [1, 1, 1, 1, 1, 0, 0, 0, 1, 1, 1, 0], [1, 1, 0, 1, 0, 1, 0, 1, 0, 1, 1, 1], [1, 1, 1, 1, 0, 1, 0, 0, 1, 1, 0, 1]]"
10,13,103,50,0.919091,12,0.638889,-5140363104.551242,-5141112648.903139,-10.352781622257847,11381217.422044165,11520463.737256099,0.14798706040871878,478995209.59896296,479821483.6315216,13.660716121050719,-4617441955.750378,-4615165516.822053,2.4528697315678074,0.605,0.198,0.196,-1.0314785763298815,242.96,"[[0, 0, 1, 1, 0, 1, 1, 0, 0, 1, 1, 1], [0, 0, 1, 1, 0, 1, 1, 0, 1, 1, 1, 1], [1, 0, 0, 1, 1, 1, 1, 0, 0, 1, 1, 1], [1, 1, 1, 0, 1, 0, 1, 1, 1, 1, 0, 0]]"
