solution index,tabu size,T,Tf,alpha,K,neighbor_percentage,greedy Z1,hybrid Z1,normalized hybrid Z1,greedy Z2,hybrid Z2,normalized hybrid Z2,greedy Z3,hybrid Z3,normalized hybrid Z3,greedy multi objective value,hybrid multi objective value,normalized hybrid multi objective value,w1,w2,w3,weighted multi objective value,optimization running time,open/close status of facilities
1,13,103,50,0.919091,12,0.638889,-7649744455.592077,-7654044894.34058,-16.63511223585145,18091534.71752809,16285795.189217508,0.23173629506533405,689845430.1694376,704130662.0182091,21.137688733940305,-6888845438.677078,-6877175845.3553915,3.709542136308551,0.748,0.206,0.046,-6.113040484155714,697.67,"[[0, 1, 0, 1, 1, 0, 0, 0, 1, 1, 1, 0, 1, 0, 0, 1, 0, 1, 0, 1], [0, 1, 1, 0, 1, 1, 0, 0, 1, 1, 1, 0, 1, 0, 1, 0, 1, 1, 1, 0], [0, 0, 0, 1, 1, 0, 0, 1, 1, 1, 1, 1, 1, 0, 1, 1, 1, 1, 0, 0], [1, 0, 1, 1, 1, 0, 1, 1, 0, 1, 0, 1, 1, 1, 0, 1, 0, 0, 0, 1]]"
2,13,103,50,0.919091,12,0.638889,-7649744455.592077,-7663139423.346459,-16.657848558366148,18091534.71752809,17682873.403196573,0.25628951499466734,689845430.1694376,697412230.7300011,20.91374102433337,-6888845438.677078,-6891975969.619038,3.717764427566132,0.844,0.012,0.143,-6.111189937906796,697.67,"[[0, 1, 0, 1, 0, 1, 0, 0, 1, 0, 0, 0, 1, 1, 0, 1, 1, 0, 1, 1], [1, 0, 1, 1, 1, 0, 0, 0, 1, 0, 1, 1, 0, 1, 1, 1, 0, 1, 0, 1], [0, 1, 0, 0, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 0, 1, 1, 0, 0], [0, 0, 1, 0, 1, 1, 1, 1, 1, 0, 1, 1, 1, 0, 1, 1, 0, 0, 0, 1]]"
3,13,103,50,0.919091,12,0.638889,-7649744455.592077,-7652635608.386105,-16.63158902096526,18091534.71752809,16604446.037922822,0.23733648572799335,689845430.1694376,703706375.7379135,21.12354585793045,-6888845438.677078,-6880681020.256686,3.711489455698159,0.631,0.338,0.03,-6.108578664967296,697.67,"[[0, 1, 0, 1, 1, 0, 0, 0, 1, 0, 1, 0, 1, 1, 1, 0, 1, 0, 1, 0], [1, 1, 0, 1, 1, 0, 0, 1, 1, 1, 1, 1, 0, 0, 1, 1, 0, 0, 0, 1], [1, 1, 0, 1, 1, 0, 0, 0, 0, 1, 1, 0, 1, 1, 0, 1, 1, 1, 1, 0], [1, 0, 0, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 1, 0, 0, 1, 0, 0]]"
4,13,103,50,0.919091,12,0.638889,-7649744455.592077,-7656209614.572249,-16.640524036430623,18091534.71752809,16880154.217598733,0.2421819721897844,689845430.1694376,702573931.0882717,21.08579770294239,-6888845438.677078,-6885810203.901572,3.71433900216754,0.742,0.131,0.127,-6.109871755531856,697.67,"[[1, 0, 1, 1, 0, 1, 0, 0, 1, 1, 1, 0, 0, 1, 0, 0, 1, 0, 0, 1], [1, 1, 0, 1, 1, 0, 0, 0, 1, 1, 0, 1, 1, 1, 1, 0, 1, 1, 0, 0], [0, 1, 1, 0, 1, 0, 1, 0, 0, 1, 0, 1, 1, 0, 0, 1, 1, 1, 1, 1], [1, 1, 1, 1, 0, 0, 1, 1, 1, 1, 1, 0, 0, 0, 1, 1, 0, 1, 0, 0]]"
5,13,103,50,0.919091,12,0.638889,-7649744455.592077,-7655410569.097294,-16.638526422743233,18091534.71752809,17025417.64666499,0.2447349322788223,689845430.1694376,706649896.599773,21.221663219992436,-6888845438.677078,-6881442300.033824,3.71191238890768,0.623,0.273,0.104,-6.105405711706494,697.67,"[[1, 0, 1, 1, 0, 1, 0, 0, 1, 1, 0, 0, 0, 1, 0, 0, 1, 1, 0, 1], [1, 1, 0, 1, 1, 0, 0, 0, 1, 1, 0, 1, 1, 1, 1, 0, 1, 1, 0, 0], [0, 1, 1, 0, 1, 0, 1, 0, 0, 1, 0, 1, 1, 0, 0, 1, 1, 1, 1, 1], [1, 1, 1, 1, 0, 0, 1, 1, 1, 1, 1, 0, 0, 0, 1, 1, 0, 1, 0, 0]]"
6,13,103,50,0.919091,12,0.638889,-7649744455.592077,-7663343082.742809,-16.658357706857025,18091534.71752809,16869049.77242821,0.24198681498116364,689845430.1694376,706924995.5019451,21.230833183398172,-6888845438.677078,-6883286320.867751,3.7129368449265283,0.443,0.554,0.003,-6.114728073772087,697.67,"[[0, 1, 0, 1, 1, 0, 0, 0, 1, 1, 1, 0, 1, 0, 0, 1, 0, 0, 1, 1], [1, 1, 1, 1, 0, 1, 0, 0, 0, 1, 1, 0, 1, 0, 1, 0, 1, 1, 1, 0], [0, 0, 0, 1, 1, 0, 0, 1, 1, 1, 1, 1, 1, 0, 1, 1, 1, 1, 0, 0], [1, 0, 1, 1, 1, 0, 1, 1, 0, 1, 0, 1, 1, 1, 0, 1, 0, 0, 0, 1]]"
7,13,103,50,0.919091,12,0.638889,-7649744455.592077,-7657971615.6348,-16.644929039087,18091534.71752809,17514265.11689688,0.2533262762196288,689845430.1694376,702865905.944953,21.0955301981651,-6888845438.677078,-6885224351.293725,3.714013528496514,0.488,0.46,0.053,-6.104907565890668,697.67,"[[1, 0, 1, 1, 0, 1, 0, 0, 1, 1, 0, 0, 0, 0, 1, 0, 1, 1, 1, 0], [1, 1, 1, 0, 1, 0, 0, 1, 0, 1, 1, 1, 1, 0, 1, 0, 1, 1, 0, 0], [1, 1, 1, 1, 0, 0, 1, 0, 1, 1, 0, 1, 0, 0, 0, 1, 1, 1, 1, 0], [1, 1, 1, 1, 1, 0, 0, 0, 1, 1, 1, 0, 0, 1, 0, 1, 0, 1, 1, 0]]"
8,13,103,50,0.919091,12,0.638889,-7649744455.592077,-7651622890.487022,-16.629057226217554,18091534.71752809,17152781.09080593,0.24697330563806555,689845430.1694376,700628128.8938043,21.020937629793476,-6888845438.677078,-6882707301.54643,3.712615167525794,0.698,0.069,0.233,-6.103551355790274,697.67,"[[1, 0, 0, 1, 0, 0, 0, 0, 1, 1, 1, 0, 1, 0, 1, 0, 0, 1, 1, 1], [1, 1, 1, 1, 0, 1, 0, 1, 0, 0, 1, 0, 1, 0, 1, 0, 1, 1, 1, 0], [0, 1, 0, 1, 1, 0, 1, 1, 1, 0, 1, 1, 0, 1, 0, 1, 1, 1, 0, 0], [1, 1, 1, 1, 0, 1, 0, 1, 0, 0, 1, 1, 0, 1, 1, 0, 0, 1, 0, 1]]"
9,13,103,50,0.919091,12,0.638889,-7649744455.592077,-7654748319.131529,-16.636870797828823,18091534.71752809,17844812.344767593,0.25913554208730394,689845430.1694376,698135758.3258622,20.937858610862072,-6888845438.677078,-6888472700.633601,3.7158181670186674,0.552,0.329,0.118,-6.100823399419086,697.67,"[[1, 0, 0, 1, 0, 0, 1, 0, 1, 1, 1, 0, 0, 0, 1, 0, 0, 1, 1, 1], [1, 1, 1, 1, 0, 1, 0, 1, 0, 0, 1, 0, 1, 0, 1, 0, 0, 1, 1, 1], [0, 1, 0, 1, 1, 0, 1, 1, 1, 0, 1, 1, 0, 1, 0, 1, 1, 1, 0, 0], [1, 1, 1, 1, 0, 1, 0, 1, 0, 0, 1, 1, 0, 1, 1, 0, 0, 1, 0, 1]]"
10,13,103,50,0.919091,12,0.638889,-7649744455.592077,-7657297733.647546,-16.643244334118865,18091534.71752809,16947973.87248022,0.243373881765909,689845430.1694376,696618564.7719915,20.887285492399716,-6888845438.677078,-6889441124.019322,3.7163561800107345,0.72,0.009,0.271,-6.113424345954321,697.67,"[[0, 1, 0, 1, 1, 0, 1, 0, 1, 0, 1, 0, 1, 1, 0, 0, 1, 0, 0, 1], [0, 1, 1, 1, 1, 0, 0, 1, 1, 0, 1, 0, 1, 1, 1, 0, 0, 1, 1, 0], [0, 1, 0, 1, 0, 0, 1, 0, 1, 1, 1, 1, 1, 1, 0, 0, 1, 1, 1, 0], [1, 1, 1, 0, 1, 1, 1, 1, 1, 0, 1, 0, 0, 0, 1, 1, 0, 0, 0, 1]]"
11,13,103,50,0.919091,12,0.638889,-7649744455.592077,-7664616595.509148,-16.66154148877287,18091534.71752809,16994679.91946354,0.24419472617686364,689845430.1694376,699959383.3068357,20.998646110227856,-6888845438.677078,-6891358349.393201,3.717421305218445,0.396,0.588,0.016,-6.118405592798415,697.67,"[[0, 1, 0, 1, 1, 1, 0, 0, 1, 0, 0, 0, 1, 1, 0, 1, 0, 0, 1, 1], [1, 0, 1, 1, 1, 0, 0, 0, 1, 0, 1, 1, 1, 1, 1, 1, 0, 1, 0, 0], [0, 1, 0, 0, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 0, 1, 1, 0, 0], [0, 0, 1, 0, 1, 0, 1, 1, 1, 0, 1, 1, 1, 1, 1, 1, 0, 0, 0, 1]]"
12,13,103,50,0.919091,12,0.638889,-7649744455.592077,-7656810587.426709,-16.642026468566772,18091534.71752809,16376090.810530132,0.2333232128388424,689845430.1694376,703628207.7740552,21.120940259135175,-6888845438.677078,-6889050838.6377735,3.716139354798763,0.512,0.373,0.115,-6.11511338825704,697.67,"[[1, 0, 0, 0, 1, 0, 1, 0, 1, 0, 1, 0, 1, 1, 0, 1, 0, 1, 0, 1], [0, 1, 1, 1, 1, 1, 0, 0, 1, 1, 1, 0, 1, 0, 1, 0, 0, 1, 1, 0], [1, 0, 0, 1, 0, 0, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 1, 0, 0], [1, 0, 1, 1, 1, 1, 1, 1, 0, 1, 1, 0, 0, 0, 1, 1, 0, 0, 0, 1]]"
13,13,103,50,0.919091,12,0.638889,-7649744455.592077,-7653230170.217745,-16.633075425544362,18091534.71752809,17924820.832477666,0.2605416666516286,689845430.1694376,696914402.0231827,20.89714673410609,-6888845438.677078,-6885132594.775548,3.7139625526530824,0.569,0.265,0.166,-6.099145020778713,697.67,"[[1, 0, 0, 1, 0, 0, 1, 0, 1, 1, 1, 0, 0, 0, 1, 0, 0, 1, 1, 1], [1, 1, 1, 1, 0, 1, 0, 1, 0, 0, 1, 0, 1, 1, 0, 0, 0, 1, 1, 1], [0, 1, 0, 1, 1, 0, 1, 1, 1, 0, 1, 0, 1, 0, 1, 0, 1, 1, 0, 1], [1, 1, 1, 1, 1, 1, 0, 0, 0, 0, 1, 1, 0, 1, 1, 0, 1, 0, 0, 1]]"
