solution index,tabu size,T,Tf,alpha,K,neighbor_percentage,greedy Z1,hybrid Z1,normalized hybrid Z1,greedy Z2,hybrid Z2,normalized hybrid Z2,greedy Z3,hybrid Z3,normalized hybrid Z3,greedy multi objective value,hybrid multi objective value,normalized hybrid multi objective value,w1,w2,w3,weighted multi objective value,optimization running time,open/close status of facilities
1,13,103,50,0.919091,12,0.638889,-2383779001.5310373,-2385342999.0286746,-3.4633574975716863,6130877.476877701,5666463.47323066,0.04510480620792021,237523300.67619815,236745006.40427452,5.558166880142484,-2128645838.3649929,-2131616855.281793,1.0731204751565517,0.745,0.192,0.062,1.546201705185853,85.57,"[[1, 0, 0, 1, 1, 0, 0, 1], [1, 1, 0, 1, 0, 1, 0, 0], [0, 1, 1, 0, 0, 0, 1, 1], [0, 1, 0, 0, 1, 0, 1, 1]]"
2,13,103,50,0.919091,12,0.638889,-2383779001.5310373,-2378262205.600284,-3.4456555140007104,6130877.476877701,5461700.432648459,0.041506158746018616,237523300.67619815,233095468.32999596,5.436515610999865,-2128645838.3649929,-2125299431.1183455,1.0696107950657474,0.507,0.459,0.034,1.508788413107739,85.57,"[[0, 0, 0, 1, 0, 1, 1, 1], [1, 1, 0, 0, 1, 0, 0, 1], [0, 1, 1, 0, 0, 0, 1, 1], [0, 0, 1, 1, 0, 1, 1, 0]]"
3,13,103,50,0.919091,12,0.638889,-2383779001.5310373,-2380927336.8431606,-3.4523183421079016,6130877.476877701,5080843.137168059,0.03481270891332266,237523300.67619815,226358082.9211462,5.211936097371541,-2128645838.3649929,-2133985871.1721532,1.0744365950956407,0.559,0.359,0.082,1.4384664884703777,85.57,"[[0, 1, 0, 1, 0, 1, 0, 1], [0, 0, 0, 1, 1, 0, 1, 1], [0, 1, 1, 0, 1, 0, 1, 0], [1, 0, 0, 1, 0, 0, 1, 1]]"
4,13,103,50,0.919091,12,0.638889,-2383779001.5310373,-2382401998.0221024,-3.456004995055256,6130877.476877701,4900475.425596563,0.03164280185582712,237523300.67619815,232645778.13536015,5.421525937845338,-2128645838.3649929,-2131033139.916012,1.0727961888422288,0.502,0.432,0.067,1.4974032386623766,85.57,"[[1, 1, 0, 1, 1, 0, 0, 0], [0, 1, 1, 1, 1, 0, 0, 0], [0, 1, 1, 0, 1, 0, 1, 0], [1, 0, 1, 1, 0, 0, 0, 1]]"
5,13,103,50,0.919091,12,0.638889,-2383779001.5310373,-2383240061.608641,-3.458100154021603,6130877.476877701,6695163.468556004,0.06318389224175754,237523300.67619815,227109625.1446054,5.2369875048201795,-2128645838.3649929,-2134154478.8466861,1.0745302660259368,0.697,0.098,0.205,1.4648379255727342,85.57,"[[0, 0, 1, 0, 1, 1, 1, 0], [0, 0, 0, 1, 1, 0, 1, 1], [1, 0, 0, 0, 1, 1, 1, 0], [0, 0, 1, 0, 1, 1, 1, 0]]"
6,13,103,50,0.919091,12,0.638889,-2383779001.5310373,-2378320805.9912553,-3.4458020149781383,6130877.476877701,6661358.158501573,0.06258977431461464,237523300.67619815,236948263.75700998,5.564942125233666,-2128645838.3649929,-2122263894.1838973,1.0679243856577207,0.607,0.25,0.143,1.560579105089217,85.57,"[[1, 0, 1, 0, 0, 0, 1, 1], [1, 0, 0, 0, 0, 1, 1, 1], [1, 1, 0, 0, 0, 1, 1, 0], [0, 0, 1, 1, 1, 1, 0, 0]]"
7,13,103,50,0.919091,12,0.638889,-2383779001.5310373,-2383520403.9289546,-3.4588010098223867,6130877.476877701,5961080.994472538,0.050282618532030546,237523300.67619815,238111449.06238455,5.603714968746152,-2128645838.3649929,-2128311692.437935,1.0712842735766306,0.358,0.642,0.001,1.563153554934099,85.57,"[[0, 1, 1, 0, 1, 0, 1, 0], [0, 1, 1, 0, 0, 1, 1, 0], [1, 0, 0, 1, 0, 0, 1, 1], [0, 0, 1, 0, 1, 1, 1, 0]]"
8,13,103,50,0.919091,12,0.638889,-2383779001.5310373,-2382368477.26691,-3.455921193167275,6130877.476877701,5801726.913103383,0.047482019562449615,237523300.67619815,232066358.693258,5.402211956441933,-2128645838.3649929,-2133254755.793581,1.0740304198853228,0.601,0.223,0.176,1.5025051435561996,85.57,"[[1, 0, 1, 1, 0, 0, 0, 1], [0, 1, 0, 0, 0, 1, 1, 1], [0, 1, 1, 1, 0, 0, 0, 1], [1, 0, 1, 0, 0, 0, 1, 1]]"
9,13,103,50,0.919091,12,0.638889,-2383779001.5310373,-2384832391.8182073,-3.4620809795455183,6130877.476877701,5810007.8247418115,0.04762755403764168,237523300.67619815,230850570.93858224,5.361685697952741,-2128645838.3649929,-2132625747.5194025,1.0736809708441124,0.655,0.116,0.23,1.4905791950738103,85.57,"[[1, 0, 1, 1, 0, 0, 0, 1], [0, 0, 1, 0, 1, 1, 1, 0], [1, 0, 0, 1, 1, 0, 0, 1], [0, 0, 0, 1, 1, 1, 0, 1]]"
10,13,103,50,0.919091,12,0.638889,-2383779001.5310373,-2382647209.4135227,-3.4566180235338066,6130877.476877701,6003824.557675952,0.051033823509243445,237523300.67619815,235759340.781491,5.525311359383034,-2128645838.3649929,-2130199436.1923604,1.0723330201068668,0.616,0.185,0.199,1.5408366905495647,85.57,"[[1, 0, 1, 1, 0, 0, 0, 1], [0, 1, 0, 1, 0, 0, 1, 1], [0, 0, 1, 1, 0, 1, 0, 1], [1, 0, 1, 0, 0, 0, 1, 1]]"
11,13,103,50,0.919091,12,0.638889,-2383779001.5310373,-2388982716.6409593,-3.472456791602398,6130877.476877701,6796386.433926145,0.06496285472629428,237523300.67619815,235865183.9320052,5.528839464400173,-2128645838.3649929,-2133879123.5527067,1.0743772908626148,0.473,0.42,0.108,1.5508197785696036,85.57,"[[1, 0, 1, 0, 1, 0, 0, 1], [1, 0, 1, 1, 0, 1, 0, 0], [0, 1, 0, 0, 1, 0, 1, 1], [0, 1, 1, 0, 1, 0, 1, 0]]"
12,13,103,50,0.919091,12,0.638889,-2383779001.5310373,-2382939039.460504,-3.45734759865126,6130877.476877701,5614849.294833088,0.04419770289689083,237523300.67619815,238466573.3189927,5.615552443966424,-2128645838.3649929,-2126820134.5465107,1.070455630303617,0.612,0.179,0.208,1.5625295806440984,85.57,"[[1, 1, 0, 0, 1, 0, 0, 1], [1, 1, 1, 0, 0, 1, 0, 0], [1, 1, 0, 0, 1, 0, 1, 0], [0, 0, 0, 0, 1, 1, 1, 1]]"
13,13,103,50,0.919091,12,0.638889,-2383779001.5310373,-2380906178.0527725,-3.4522654451319315,6130877.476877701,5371023.926083295,0.03991254703134085,237523300.67619815,228859907.4112612,5.29533024704204,-2128645838.3649929,-2131196751.984841,1.0728870844360228,0.639,0.122,0.239,1.4662769102244348,85.57,"[[1, 0, 0, 1, 0, 1, 1, 0], [1, 0, 0, 0, 0, 1, 1, 1], [1, 1, 0, 0, 1, 0, 1, 0], [0, 1, 0, 1, 1, 1, 0, 0]]"
14,13,103,50,0.919091,12,0.638889,-2383779001.5310373,-2380267462.6526127,-3.4506686566315317,6130877.476877701,5722841.2163149845,0.04609562770325105,237523300.67619815,229797595.0565041,5.32658650188347,-2128645838.3649929,-2131881627.4843268,1.073267570824626,0.624,0.141,0.235,1.4796453657771997,85.57,"[[0, 0, 0, 1, 0, 1, 1, 1], [0, 0, 1, 1, 0, 0, 1, 1], [0, 0, 0, 1, 0, 1, 1, 1], [1, 0, 0, 1, 0, 0, 1, 1]]"
15,13,103,50,0.919091,12,0.638889,-2383779001.5310373,-2380672585.041684,-3.4516814626042103,6130877.476877701,5977001.020693609,0.05056240809654848,237523300.67619815,232434279.30541816,5.414475976847272,-2128645838.3649929,-2128062529.8186672,1.0711458498992596,0.584,0.211,0.206,1.5083061725881326,85.57,"[[1, 0, 1, 1, 0, 0, 1, 0], [1, 0, 1, 0, 0, 1, 0, 1], [0, 0, 1, 1, 0, 1, 0, 1], [0, 0, 0, 1, 1, 1, 0, 1]]"
16,13,103,50,0.919091,12,0.638889,-2383779001.5310373,-2380581647.619847,-3.451454119049617,6130877.476877701,5661808.02266311,0.045022988096012476,237523300.67619815,233728323.35503185,5.457610778501062,-2128645838.3649929,-2125892571.9114022,1.0699403177285567,0.518,0.32,0.162,1.5171528555608682,85.57,"[[0, 0, 0, 1, 0, 1, 1, 1], [0, 0, 0, 1, 1, 0, 1, 1], [0, 0, 1, 0, 0, 1, 1, 1], [1, 0, 0, 1, 0, 0, 1, 1]]"
17,13,103,50,0.919091,12,0.638889,-2383779001.5310373,-2379863706.116826,-3.4496592652920652,6130877.476877701,6048032.779649164,0.051810769413869306,237523300.67619815,233143406.2321144,5.43811354107048,-2128645838.3649929,-2125826184.4221928,1.0699034357901072,0.418,0.483,0.099,1.5161174184311295,85.57,"[[0, 0, 1, 1, 0, 1, 0, 1], [0, 0, 0, 1, 1, 0, 1, 1], [0, 0, 1, 1, 0, 1, 1, 0], [1, 0, 0, 1, 0, 0, 1, 1]]"
18,13,103,50,0.919091,12,0.638889,-2383779001.5310373,-2381339413.1416297,-3.4533485328540743,6130877.476877701,5956051.609667341,0.050194228640902304,237523300.67619815,229902401.99306205,5.330080066435402,-2128645838.3649929,-2131187235.2478414,1.0728817973599118,0.36,0.575,0.065,1.4833612618991927,85.57,"[[1, 0, 1, 1, 0, 0, 1, 0], [1, 0, 1, 0, 0, 1, 0, 1], [0, 0, 1, 1, 1, 0, 0, 1], [0, 0, 0, 1, 1, 1, 0, 1]]"
19,13,103,50,0.919091,12,0.638889,-2383779001.5310373,-2384377605.565948,-3.46094401391487,6130877.476877701,6359302.971868065,0.05728124730875334,237523300.67619815,239465224.10315472,5.648840803438491,-2128645838.3649929,-2128576672.7076154,1.0714314848375641,0.557,0.257,0.187,1.581008935848013,85.57,"[[1, 0, 1, 0, 1, 0, 0, 1], [0, 1, 1, 0, 1, 1, 0, 0], [0, 1, 0, 1, 0, 0, 1, 1], [0, 0, 1, 0, 1, 1, 1, 0]]"
20,13,103,50,0.919091,12,0.638889,-2383779001.5310373,-2377443845.6220164,-3.443609614055041,6130877.476877701,5548369.848407603,0.043029347072189854,237523300.67619815,229334367.9785163,5.311145599283877,-2128645838.3649929,-2125248965.5632105,1.069582758646228,0.536,0.263,0.201,1.4732765142701305,85.57,"[[0, 0, 0, 1, 1, 1, 1, 0], [1, 0, 0, 0, 1, 0, 1, 1], [1, 1, 0, 0, 1, 0, 1, 0], [0, 1, 0, 1, 0, 1, 1, 0]]"
21,13,103,50,0.919091,12,0.638889,-2383779001.5310373,-2382851266.445744,-3.45712816611436,6130877.476877701,6607714.098234184,0.06164699645402784,237523300.67619815,235311658.2928746,5.510388609762487,-2128645838.3649929,-2129340625.0245497,1.0718559027914165,0.241,0.735,0.024,1.5436591644969317,85.57,"[[1, 0, 1, 0, 1, 0, 0, 1], [1, 0, 1, 0, 1, 1, 0, 0], [0, 1, 0, 0, 1, 0, 1, 1], [0, 0, 1, 1, 1, 1, 0, 0]]"
22,13,103,50,0.919091,12,0.638889,-2383779001.5310373,-2383351301.7498207,-3.458378254374552,6130877.476877701,6424186.965655377,0.05842156354403123,237523300.67619815,229099519.83334732,5.303317327778244,-2128645838.3649929,-2133697605.37942,1.074276447433011,0.463,0.362,0.175,1.4809687539084895,85.57,"[[0, 1, 1, 0, 1, 0, 0, 1], [1, 0, 1, 1, 0, 0, 1, 0], [0, 1, 0, 1, 0, 0, 1, 1], [0, 1, 1, 0, 0, 1, 1, 0]]"
23,13,103,50,0.919091,12,0.638889,-2383779001.5310373,-2386384245.9186516,-3.465960614796629,6130877.476877701,5534838.899821078,0.04279154481232124,237523300.67619815,235603910.51932633,5.5201303506442105,-2128645838.3649929,-2133863780.417674,1.0743687668987079,0.325,0.591,0.084,1.5334459507121676,85.57,"[[0, 0, 0, 1, 0, 1, 1, 1], [0, 0, 1, 0, 1, 0, 1, 1], [0, 0, 1, 0, 0, 1, 1, 1], [1, 0, 0, 0, 1, 0, 1, 1]]"
24,13,103,50,0.919091,12,0.638889,-2383779001.5310373,-2384770251.844475,-3.461925629611187,6130877.476877701,5701407.332061786,0.04571893377964475,237523300.67619815,229680498.92376918,5.322683297458973,-2128645838.3649929,-2134315615.1559236,1.0746197861977353,0.432,0.407,0.161,1.4779012654426722,85.57,"[[1, 0, 1, 1, 0, 0, 1, 0], [0, 0, 1, 0, 1, 1, 1, 0], [0, 1, 0, 1, 1, 0, 0, 1], [0, 0, 0, 1, 1, 1, 0, 1]]"
25,13,103,50,0.919091,12,0.638889,-2383779001.5310373,-2383177264.4716754,-3.4579431611791884,6130877.476877701,5383116.880325747,0.040125076982877796,237523300.67619815,238194527.15019226,5.606484238339742,-2128645838.3649929,-2127771888.3507493,1.0709843824170828,0.234,0.733,0.033,1.5571019617930408,85.57,"[[1, 1, 0, 0, 1, 0, 1, 0], [0, 1, 1, 0, 0, 1, 1, 0], [1, 0, 0, 1, 0, 0, 1, 1], [0, 0, 1, 0, 1, 1, 1, 0]]"
26,13,103,50,0.919091,12,0.638889,-2383779001.5310373,-2384637325.4933524,-3.461593313733381,6130877.476877701,6140336.853142182,0.05343298511673431,237523300.67619815,236363839.83512253,5.545461327837417,-2128645838.3649929,-2129542438.4702556,1.0719680213723641,0.503,0.29,0.207,1.5481928789119368,85.57,"[[1, 0, 1, 0, 0, 1, 0, 1], [0, 1, 1, 0, 1, 1, 0, 0], [0, 1, 0, 1, 0, 0, 1, 1], [0, 0, 1, 0, 1, 1, 1, 0]]"
27,13,103,50,0.919091,12,0.638889,-2383779001.5310373,-2385021139.493489,-3.462552848733722,6130877.476877701,5765817.012654083,0.04685091410639865,237523300.67619815,226826047.2581034,5.227534908603447,-2128645838.3649929,-2137443893.5097208,1.0763577186165116,0.579,0.148,0.273,1.4508659747655994,85.57,"[[1, 0, 1, 1, 0, 0, 1, 0], [0, 0, 1, 0, 1, 1, 0, 1], [1, 1, 0, 1, 1, 0, 0, 0], [0, 0, 0, 1, 1, 1, 0, 1]]"
28,13,103,50,0.919091,12,0.638889,-2383779001.5310373,-2376557356.5382357,-3.441393391345589,6130877.476877701,6271956.7927831765,0.05574616507527551,237523300.67619815,233207944.78265253,5.440264826088417,-2128645838.3649929,-2123617893.9548864,1.0686766077527148,0.311,0.571,0.118,1.5196700340071412,85.57,"[[0, 1, 1, 0, 1, 0, 0, 1], [1, 0, 1, 0, 0, 1, 1, 0], [0, 1, 1, 0, 0, 0, 1, 1], [0, 0, 1, 1, 0, 1, 1, 0]]"
29,13,103,50,0.919091,12,0.638889,-2383779001.5310373,-2380954535.891488,-3.45238633972872,6130877.476877701,4757512.188361831,0.02913026693078789,237523300.67619815,233889326.28303063,5.462977542767687,-2128645838.3649929,-2130703907.994538,1.0726132822191878,0.361,0.473,0.165,1.5079157869356483,85.57,"[[1, 1, 0, 1, 1, 0, 0, 0], [0, 1, 1, 0, 1, 1, 0, 0], [0, 1, 1, 0, 1, 0, 1, 0], [1, 0, 1, 0, 0, 1, 0, 1]]"
30,13,103,50,0.919091,12,0.638889,-2383779001.5310373,-2380278088.2829804,-3.450695220707451,6130877.476877701,6201435.628637081,0.05450677730469387,237523300.67619815,228776199.13976306,5.292539971325435,-2128645838.3649929,-2134321735.901877,1.0746231866121538,0.483,0.238,0.278,1.4754057147976782,85.57,"[[0, 1, 1, 0, 0, 1, 0, 1], [0, 0, 0, 1, 0, 1, 1, 1], [1, 0, 1, 1, 0, 0, 0, 1], [1, 1, 1, 0, 0, 1, 0, 0]]"
31,13,103,50,0.919091,12,0.638889,-2383779001.5310373,-2377767397.599998,-3.444418493999995,6130877.476877701,5916838.812524367,0.049505075791289405,237523300.67619815,233587723.33699015,5.452924111233005,-2128645838.3649929,-2124312632.3573563,1.0690625735318646,0.481,0.243,0.276,1.5190413085525318,85.57,"[[1, 0, 0, 0, 0, 1, 1, 1], [1, 1, 0, 0, 1, 0, 0, 1], [0, 1, 1, 0, 0, 0, 1, 1], [0, 0, 1, 1, 0, 1, 1, 0]]"
