solution index,tabu size,T,Tf,alpha,K,neighbor_percentage,greedy Z1,hybrid Z1,normalized hybrid Z1,greedy Z2,hybrid Z2,normalized hybrid Z2,greedy Z3,hybrid Z3,normalized hybrid Z3,greedy multi objective value,hybrid multi objective value,normalized hybrid multi objective value,w1,w2,w3,weighted multi objective value,optimization running time,open/close status of facilities
1,13,103,50,0.919091,12,0.638889,-1641595746.6058493,-1640659321.0658157,-1.6016483026645392,4197133.0294042155,4655323.168507033,0.02733432633580023,170967432.86927497,169330060.65883467,3.3110020219611553,-1457187058.7759516,-1456208319.5756886,0.6978935108753825,0.805,0.194,0.001,-0.37932990390756277,42.28,"[[1, 1, 1, 0, 0], [1, 1, 0, 1, 0], [0, 0, 1, 1, 1], [1, 1, 0, 1, 0]]"
2,13,103,50,0.919091,12,0.638889,-1641595746.6058493,-1640166537.510297,-1.6004163437757426,4197133.0294042155,4789525.638000491,0.029692893462223043,170967432.86927497,166945310.78823557,3.2315103596078525,-1457187058.7759516,-1456693276.1388621,0.6981629311882568,0.776,0.192,0.032,-0.3844870118009124,42.28,"[[1, 1, 1, 0, 0], [0, 1, 1, 1, 0], [1, 0, 1, 0, 1], [1, 0, 1, 0, 1]]"
3,13,103,50,0.919091,12,0.638889,-1641595746.6058493,-1638222931.6936517,-1.5955573292341292,4197133.0294042155,4123558.218343662,0.01798872088477438,170967432.86927497,162144030.14042845,3.071467671347615,-1457187058.7759516,-1463221894.3423212,0.7017899413012896,0.618,0.365,0.017,-0.4019420685757175,42.28,"[[1, 0, 0, 1, 1], [1, 0, 1, 0, 1], [1, 1, 0, 1, 0], [1, 0, 1, 0, 1]]"
4,13,103,50,0.919091,12,0.638889,-1641595746.6058493,-1643357065.998529,-1.6083926649963225,4197133.0294042155,4463026.551780341,0.023954772439021815,170967432.86927497,167171702.4963142,3.23905674987714,-1457187058.7759516,-1464101091.344302,0.7022783840801677,0.645,0.3,0.055,-0.39002942353645076,42.28,"[[1, 1, 0, 1, 0], [1, 1, 1, 0, 0], [0, 1, 1, 1, 0], [1, 1, 1, 0, 0]]"
5,13,103,50,0.919091,12,0.638889,-1641595746.6058493,-1643305397.3435798,-1.6082634933589495,4197133.0294042155,4764615.500792604,0.029255105462084426,170967432.86927497,161361736.2647234,3.045391208824113,-1457187058.7759516,-1466689121.1949298,0.7037161784416277,0.536,0.435,0.03,-0.40402755695007847,42.28,"[[0, 1, 1, 1, 0], [1, 1, 0, 1, 0], [1, 1, 0, 1, 0], [0, 0, 1, 1, 1]]"
6,13,103,50,0.919091,12,0.638889,-1641595746.6058493,-1643130669.8311713,-1.6078266745779282,4197133.0294042155,4537398.918067009,0.025261843902759387,170967432.86927497,170818876.38931528,3.3606292129771758,-1457187058.7759516,-1459760767.1360166,0.6998670928533426,0.5,0.484,0.017,-0.3786930056741717,42.28,"[[1, 1, 0, 1, 0], [1, 1, 0, 1, 0], [0, 1, 1, 1, 0], [1, 1, 1, 0, 0]]"
7,13,103,50,0.919091,12,0.638889,-1641595746.6058493,-1638112128.4118454,-1.5952803210296136,4197133.0294042155,4704822.277158001,0.02820425794653781,170967432.86927497,166510919.25924757,3.217030641974919,-1457187058.7759516,-1457865051.8153675,0.6988139176752042,0.496,0.439,0.065,-0.3842906499339334,42.28,"[[1, 0, 1, 1, 0], [1, 0, 0, 1, 1], [1, 1, 1, 0, 0], [1, 0, 0, 1, 1]]"
8,13,103,50,0.919091,12,0.638889,-1641595746.6058493,-1640294946.385057,-1.6007373659626425,4197133.0294042155,4459904.250680262,0.023899898957473853,170967432.86927497,172260035.95139486,3.408667865046495,-1457187058.7759516,-1456592768.34462,0.6981070935247888,0.562,0.34,0.098,-0.37223161902007956,42.28,"[[1, 1, 0, 1, 0], [1, 1, 1, 0, 0], [0, 1, 0, 1, 1], [1, 1, 0, 1, 0]]"
9,13,103,50,0.919091,12,0.638889,-1641595746.6058493,-1644724065.572233,-1.6118101639305824,4197133.0294042155,4053027.1277236785,0.01674915865946711,170967432.86927497,162993321.5734143,3.0997773857804765,-1457187058.7759516,-1465784058.5481606,0.7032133658600892,0.452,0.465,0.084,-0.40699100726371695,42.28,"[[1, 0, 0, 1, 1], [1, 1, 0, 0, 1], [1, 1, 1, 0, 0], [0, 0, 1, 1, 1]]"
10,13,103,50,0.919091,12,0.638889,-1641595746.6058493,-1641304866.7619512,-1.603262166904878,4197133.0294042155,4915767.118937112,0.031911548663218145,170967432.86927497,169279371.1452936,3.3093123715097863,-1457187058.7759516,-1457544454.7944689,0.6986358082191494,0.571,0.29,0.139,-0.3779104622572817,42.28,"[[0, 1, 1, 1, 0], [0, 1, 0, 1, 1], [0, 0, 1, 1, 1], [1, 1, 1, 0, 0]]"
