solution index,tabu size,T,Tf,alpha,K,neighbor_percentage,greedy Z1,hybrid Z1,normalized hybrid Z1,greedy Z2,hybrid Z2,normalized hybrid Z2,greedy Z3,hybrid Z3,normalized hybrid Z3,greedy multi objective value,hybrid multi objective value,normalized hybrid multi objective value,w1,w2,w3,weighted multi objective value,optimization running time,open/close status of facilities
1,13,103,50,0.919091,12,0.638889,-1645382881.370688,-1648207852.125385,-1.6205196303134626,5014030.693603491,4612519.608514822,0.026582066933476662,165439006.27947333,167640482.1629005,3.2546827387633503,-1469317542.0012105,-1466994939.9526684,0.7038860777514825,0.709,0.284,0.007,-0.6152806386889302,50.87,"[[0, 1, 0, 1, 0, 1], [1, 0, 1, 0, 0, 1], [1, 0, 1, 1, 0, 0], [1, 0, 0, 0, 1, 1]]"
2,13,103,50,0.919091,12,0.638889,-1645382881.370688,-1645064536.9913137,-1.6126613424782843,5014030.693603491,4689794.7168236775,0.027940153195495213,165439006.27947333,162721635.91673556,3.0907211972245188,-1469317542.0012105,-1469934525.4739728,0.7055191808188738,0.749,0.215,0.035,-0.6254268432878889,50.87,"[[1, 1, 0, 1, 0, 0], [0, 1, 1, 0, 1, 0], [0, 0, 1, 0, 1, 1], [1, 1, 0, 0, 1, 0]]"
3,13,103,50,0.919091,12,0.638889,-1645382881.370688,-1648090564.3997552,-1.620226410999388,5014030.693603491,4967494.262171412,0.03282063729650987,165439006.27947333,162223387.8737822,3.074112929126073,-1469317542.0012105,-1472898599.618605,0.7071658886770027,0.481,0.517,0.002,-0.629617289383832,50.87,"[[1, 1, 0, 0, 0, 1], [0, 1, 1, 1, 0, 0], [0, 0, 1, 1, 0, 1], [1, 0, 0, 0, 1, 1]]"
4,13,103,50,0.919091,12,0.638889,-1645382881.370688,-1642376418.8973238,-1.6059410472433095,5014030.693603491,4728229.453149624,0.028615631865546998,165439006.27947333,174211914.33251017,3.473730477750339,-1469317542.0012105,-1451740951.7327468,0.695411639851526,0.584,0.363,0.052,-0.5861311094051003,50.87,"[[0, 1, 1, 0, 1, 0], [0, 0, 1, 1, 0, 1], [0, 1, 1, 0, 0, 1], [0, 1, 1, 1, 0, 0]]"
5,13,103,50,0.919091,12,0.638889,-1645382881.370688,-1644574160.2953453,-1.6114354007383633,5014030.693603491,4191582.737076715,0.019184230880082868,165439006.27947333,169835974.59585574,3.327865819861858,-1469317542.0012105,-1459559627.8358266,0.6997553487976814,0.505,0.477,0.018,-0.6058702529561081,50.87,"[[0, 1, 0, 1, 1, 0], [1, 0, 1, 1, 0, 0], [0, 1, 0, 0, 1, 1], [0, 1, 1, 0, 0, 1]]"
6,13,103,50,0.919091,12,0.638889,-1645382881.370688,-1642170835.54452,-1.6054270888612998,5014030.693603491,5501305.071807912,0.042202198098557325,165439006.27947333,171263429.93282357,3.3754476644274525,-1469317542.0012105,-1455929449.2805684,0.6977385829336491,0.697,0.17,0.133,-0.5902879125663028,50.87,"[[1, 0, 1, 0, 0, 1], [0, 0, 1, 0, 1, 1], [1, 1, 0, 1, 0, 0], [1, 1, 1, 0, 0, 0]]"
7,13,103,50,0.919091,12,0.638889,-1645382881.370688,-1644107382.173919,-1.6102684554347975,5014030.693603491,5073926.457823511,0.03469115040111619,165439006.27947333,168664917.89991963,3.2888305966639875,-1469317542.0012105,-1462035247.7208261,0.7011306931782367,0.538,0.399,0.063,-0.6035549958691704,50.87,"[[1, 0, 1, 1, 0, 0], [1, 1, 0, 0, 1, 0], [1, 0, 1, 0, 1, 0], [0, 1, 1, 0, 1, 0]]"
8,13,103,50,0.919091,12,0.638889,-1645382881.370688,-1647169985.3947346,-1.6179249634868365,5014030.693603491,5025662.726046491,0.0338429301589893,165439006.27947333,171711983.34507027,3.390399444835676,-1469317542.0012105,-1464591774.7455566,0.7025509859697536,0.564,0.36,0.076,-0.5988615698688762,50.87,"[[1, 0, 0, 1, 0, 1], [0, 1, 0, 0, 1, 1], [1, 1, 0, 0, 1, 0], [0, 0, 1, 0, 1, 1]]"
9,13,103,50,0.919091,12,0.638889,-1645382881.370688,-1641208273.076339,-1.6030206826908475,5014030.693603491,5079456.801220138,0.03478834448541542,165439006.27947333,170041124.56321263,3.3347041521070877,-1469317542.0012105,-1458100801.3578448,0.6989448896432471,0.48,0.486,0.034,-0.5951705467038605,50.87,"[[1, 0, 1, 1, 0, 0], [1, 0, 1, 0, 1, 0], [1, 1, 1, 0, 0, 0], [0, 1, 0, 1, 0, 1]]"
10,13,103,50,0.919091,12,0.638889,-1645382881.370688,-1642259758.201975,-1.6056493955049378,5014030.693603491,4643525.081188839,0.027126978579768698,165439006.27947333,174115576.0945972,3.4705192031532395,-1469317542.0012105,-1453697427.3295875,0.6964985707386597,0.509,0.44,0.05,-0.5867634699877546,50.87,"[[0, 1, 0, 0, 1, 1], [0, 0, 1, 1, 0, 1], [0, 1, 1, 0, 1, 0], [0, 1, 0, 1, 0, 1]]"
11,13,103,50,0.919091,12,0.638889,-1645382881.370688,-1645687655.219568,-1.6142191380489201,5014030.693603491,4686489.088938384,0.027882057802080567,165439006.27947333,172203595.45056883,3.4067865150189607,-1469317542.0012105,-1459649110.6251361,0.6998050614584089,0.57,0.338,0.092,-0.5972564137690368,50.87,"[[0, 1, 0, 1, 0, 1], [0, 1, 1, 0, 0, 1], [1, 0, 1, 0, 1, 0], [1, 0, 1, 0, 1, 0]]"
12,13,103,50,0.919091,12,0.638889,-1645382881.370688,-1646989667.2488883,-1.6174741681222207,5014030.693603491,5065391.036412888,0.034541142994954095,165439006.27947333,171324924.3608186,3.3774974786939533,-1469317542.0012105,-1460971206.256656,0.7005395590314755,0.795,0.001,0.204,-0.5995556014575274,50.87,"[[1, 0, 0, 0, 1, 1], [0, 1, 0, 1, 0, 1], [1, 0, 1, 0, 1, 0], [0, 0, 1, 1, 1, 0]]"
13,13,103,50,0.919091,12,0.638889,-1645382881.370688,-1645173875.4976306,-1.6129346887440765,5014030.693603491,4189523.5647272295,0.01914804155935377,165439006.27947333,170853961.69976455,3.361798723325485,-1469317542.0012105,-1460787932.074515,0.7004377400413972,0.73,0.089,0.182,-0.6036152519911173,50.87,"[[0, 1, 0, 1, 1, 0], [1, 1, 0, 1, 0, 0], [0, 1, 0, 0, 1, 1], [0, 1, 1, 0, 0, 1]]"
