,1,2,3,4
1,100000.21146734436,100000.07604769057,100000.36490769843,100000.2847340248
2,100000.88758879215,100000.78025960995,100000.10906495685,100000.85050349537
3,100000.10959860691,100000.72020774678,100000.57282429792,100000.08680838427
4,100000.90532803608,100000.87456651489,100000.84385173136,100000.36956735511
5,100000.22295141238,100000.99711165485,100000.81733836548,100000.04212816062
6,100000.37327787786,100000.81218697575,100000.52838469672,100000.2471308256
7,100000.79288793045,100000.26175104394,100000.00039838006,100000.23131891896
8,100000.99337028897,100000.65620083435,100000.22066812209,100000.68613970198
9,100000.68693689822,100000.64074276993,100000.07054851673,100000.24296411699
10,100000.87083719282,100000.7347408193,100000.16781600598,100000.29858946128
