solution index,tabu size,T,Tf,alpha,K,neighbor_percentage,greedy Z1,hybrid Z1,normalized hybrid Z1,greedy Z2,hybrid Z2,normalized hybrid Z2,greedy Z3,hybrid Z3,normalized hybrid Z3,greedy multi objective value,hybrid multi objective value,normalized hybrid multi objective value,w1,w2,w3,weighted multi objective value,optimization running time,open/close status of facilities
1,13,103,50,0.919091,12,0.638889,-3383346809.574538,-3387406973.952446,-5.9685174348811145,8719914.749752322,8464014.459381357,0.09427090438280064,330528085.2403403,328797176.04441196,8.626572534813732,-3019453718.9665747,-3021996474.3842235,1.5677758191023463,0.698,0.219,0.083,1.350212285052244,170.57,"[[0, 0, 1, 1, 1, 0, 0, 0, 1, 1], [0, 1, 1, 0, 0, 1, 0, 1, 1, 1], [1, 0, 1, 1, 1, 1, 0, 0, 0, 1], [1, 1, 1, 0, 1, 0, 1, 1, 0, 0]]"
2,13,103,50,0.919091,12,0.638889,-3383346809.574538,-3385848856.6255608,-5.964622141563902,8719914.749752322,7903736.222547558,0.08442418668800629,330528085.2403403,325475072.49446416,8.515835749815471,-3019453718.9665747,-3025007391.656575,1.5694485509203195,0.734,0.136,0.131,1.3090576649959496,170.57,"[[0, 1, 0, 1, 1, 0, 0, 0, 1, 1], [1, 0, 1, 1, 1, 1, 1, 0, 0, 0], [0, 1, 0, 1, 1, 0, 1, 1, 0, 1], [1, 1, 0, 1, 0, 0, 0, 1, 1, 1]]"
3,13,103,50,0.919091,12,0.638889,-3383346809.574538,-3385535081.572909,-5.963837703932272,8719914.749752322,8803256.281742338,0.10023297507455779,330528085.2403403,326311151.02033776,8.543705034011259,-3019453718.9665747,-3024254253.522221,1.5690301408456784,0.538,0.428,0.034,1.3248086508055266,170.57,"[[1, 0, 1, 1, 0, 0, 0, 0, 1, 1], [0, 1, 1, 0, 0, 1, 0, 1, 1, 1], [0, 1, 0, 1, 1, 0, 1, 0, 1, 1], [1, 1, 0, 1, 0, 1, 1, 1, 0, 0]]"
4,13,103,50,0.919091,12,0.638889,-3383346809.574538,-3385555884.1907816,-5.963889710476954,8719914.749752322,8204277.141165673,0.08970610089922096,330528085.2403403,320224506.82693225,8.340816894231075,-3019453718.9665747,-3030460135.3916707,1.5724778529953727,0.65,0.227,0.123,1.2501225573412045,170.57,"[[0, 1, 0, 1, 1, 1, 0, 1, 0, 0], [0, 0, 1, 1, 0, 1, 1, 1, 0, 1], [0, 1, 0, 0, 1, 1, 1, 1, 1, 0], [0, 1, 0, 0, 1, 1, 1, 1, 1, 0]]"
5,13,103,50,0.919091,12,0.638889,-3383346809.574538,-3384361879.7873654,-5.960904699468413,8719914.749752322,7508603.054858668,0.07747984279189223,330528085.2403403,327005443.23703915,8.566848107901304,-3019453718.9665747,-3025490559.6004314,1.5697169775557953,0.688,0.161,0.151,1.3253681573131502,170.57,"[[0, 1, 1, 1, 0, 0, 1, 0, 1, 0], [0, 1, 1, 0, 1, 1, 0, 1, 1, 0], [1, 1, 1, 1, 0, 1, 0, 0, 0, 1], [1, 1, 1, 0, 1, 1, 0, 1, 0, 0]]"
6,13,103,50,0.919091,12,0.638889,-3383346809.574538,-3386914055.1949,-5.9672851379872505,8719914.749752322,7885984.696736377,0.0841122090814829,330528085.2403403,334475193.57879126,8.815839785959708,-3019453718.9665747,-3022116479.4150586,1.5678424885639215,0.732,0.083,0.184,1.4128882868444632,170.57,"[[0, 1, 1, 0, 1, 0, 1, 0, 1, 0], [1, 1, 1, 0, 1, 0, 1, 0, 1, 0], [1, 0, 0, 1, 0, 1, 1, 1, 1, 0], [1, 0, 1, 1, 1, 0, 1, 0, 1, 0]]"
7,13,103,50,0.919091,12,0.638889,-3383346809.574538,-3381697599.48549,-5.954243998713725,8719914.749752322,8429995.545358969,0.09367303243161633,330528085.2403403,330112939.62698185,8.670431320899395,-3019453718.9665747,-3016600381.456232,1.5647779896979066,0.566,0.355,0.08,1.369353238261594,170.57,"[[1, 1, 1, 1, 0, 0, 0, 0, 0, 1], [1, 0, 1, 1, 1, 0, 0, 1, 0, 1], [1, 0, 1, 1, 0, 0, 1, 1, 1, 0], [1, 1, 1, 0, 1, 1, 0, 0, 1, 0]]"
8,13,103,50,0.919091,12,0.638889,-3383346809.574538,-3383676710.1502666,-5.9591917753756665,8719914.749752322,8203112.667638692,0.0896856356351264,330528085.2403403,326046074.51857805,8.534869150619269,-3019453718.9665747,-3025008285.9017463,1.5694490477231924,0.478,0.487,0.035,1.319173497637527,170.57,"[[0, 1, 0, 1, 1, 1, 0, 1, 0, 0], [0, 0, 1, 1, 0, 1, 1, 1, 0, 1], [1, 0, 0, 0, 1, 1, 1, 1, 1, 0], [0, 0, 0, 1, 1, 1, 1, 1, 1, 0]]"
9,13,103,50,0.919091,12,0.638889,-3383346809.574538,-3382335353.7449455,-5.955838384362364,8719914.749752322,7946340.025082028,0.08517293541444688,330528085.2403403,326550845.6799321,8.551694855997738,-3019453718.9665747,-3021611108.925364,1.5675617271807578,0.492,0.455,0.053,1.3243418708814012,170.57,"[[0, 1, 0, 1, 1, 0, 0, 0, 1, 1], [1, 0, 1, 1, 1, 1, 0, 1, 0, 0], [0, 1, 0, 1, 1, 0, 1, 1, 0, 1], [1, 1, 0, 1, 0, 1, 0, 1, 0, 1]]"
10,13,103,50,0.919091,12,0.638889,-3383346809.574538,-3383069802.955584,-5.95767450738896,8719914.749752322,8023688.941961101,0.08653231883938667,330528085.2403403,329982666.703158,8.666088890105268,-3019453718.9665747,-3017199663.8652487,1.5651109243695827,0.504,0.419,0.078,1.3642428235623287,170.57,"[[0, 1, 0, 1, 1, 1, 0, 0, 0, 1], [1, 0, 1, 1, 0, 1, 0, 1, 0, 1], [1, 0, 1, 0, 1, 1, 0, 1, 1, 0], [0, 1, 0, 0, 1, 1, 1, 1, 1, 0]]"
11,13,103,50,0.919091,12,0.638889,-3383346809.574538,-3384407562.72938,-5.96101890682345,8719914.749752322,8165414.889415216,0.08902310877706882,330528085.2403403,324397310.1557211,8.479910338524038,-3019453718.9665747,-3028252608.616316,1.5712514492312866,0.691,0.091,0.217,1.2992308195282134,170.57,"[[0, 0, 1, 1, 0, 0, 1, 0, 1, 1], [0, 0, 1, 1, 1, 0, 1, 1, 0, 1], [0, 1, 1, 0, 1, 1, 0, 1, 0, 1], [1, 0, 1, 1, 1, 0, 1, 0, 1, 0]]"
12,13,103,50,0.919091,12,0.638889,-3383346809.574538,-3388016062.9458027,-5.970040157364506,8719914.749752322,7730769.116211334,0.08138434299141185,330528085.2403403,324069233.9875859,8.468974466252863,-3019453718.9665747,-3030630744.8744807,1.572572636041378,0.587,0.265,0.148,1.2900487379085774,170.57,"[[0, 1, 1, 1, 0, 1, 0, 0, 1, 0], [1, 0, 0, 0, 1, 1, 1, 0, 1, 1], [0, 0, 0, 1, 1, 1, 1, 1, 0, 1], [1, 0, 0, 1, 1, 0, 1, 1, 0, 1]]"
13,13,103,50,0.919091,12,0.638889,-3383346809.574538,-3390066353.587012,-5.97516588396753,8719914.749752322,7966267.165909091,0.08552314878574853,330528085.2403403,323739692.1395903,8.457989737986344,-3019453718.9665747,-3028594234.817619,1.5714412415653438,0.39,0.586,0.025,1.286278303114825,170.57,"[[0, 1, 1, 1, 0, 1, 0, 0, 1, 0], [1, 0, 1, 0, 0, 1, 1, 1, 0, 1], [0, 0, 0, 1, 1, 1, 1, 0, 1, 1], [0, 0, 1, 1, 1, 0, 1, 1, 0, 1]]"
14,13,103,50,0.919091,12,0.638889,-3383346809.574538,-3385549963.989048,-5.96387490997262,8719914.749752322,8449385.631059574,0.09401380722424559,330528085.2403403,327108355.9174106,8.570278530580353,-3019453718.9665747,-3024019954.4185586,1.568899974676977,0.415,0.54,0.045,1.3317897999916173,170.57,"[[0, 0, 1, 1, 1, 0, 0, 0, 1, 1], [0, 1, 1, 0, 0, 1, 0, 1, 1, 1], [1, 0, 1, 1, 1, 1, 0, 0, 0, 1], [1, 1, 0, 1, 1, 0, 1, 1, 0, 0]]"
15,13,103,50,0.919091,12,0.638889,-3383346809.574538,-3380224641.8231196,-5.950561604557799,8719914.749752322,9224980.102933709,0.1076446415278332,330528085.2403403,330128560.1922943,8.67095200640981,-3019453718.9665747,-3020312311.139,1.5668401728549999,0.522,0.359,0.119,1.3757083379833233,170.57,"[[1, 1, 1, 0, 0, 0, 0, 0, 1, 1], [0, 0, 1, 0, 1, 0, 1, 1, 1, 1], [1, 1, 1, 1, 0, 0, 1, 1, 0, 0], [1, 1, 1, 0, 1, 1, 0, 0, 1, 0]]"
16,13,103,50,0.919091,12,0.638889,-3383346809.574538,-3384614102.4550133,-5.961535256137533,8719914.749752322,8221473.502943169,0.090008321668597,330528085.2403403,331717963.4062437,8.723932113541457,-3019453718.9665747,-3021703513.8012357,1.5676130632229086,0.394,0.576,0.03,1.3846093489352842,170.57,"[[1, 1, 1, 1, 0, 0, 0, 0, 1, 0], [1, 0, 1, 0, 1, 1, 0, 1, 1, 0], [1, 0, 1, 1, 0, 1, 0, 0, 1, 1], [1, 0, 1, 0, 1, 0, 0, 1, 1, 1]]"
17,13,103,50,0.919091,12,0.638889,-3383346809.574538,-3388133304.08468,-5.9703332602117,8719914.749752322,7805785.773990691,0.08270273767997699,330528085.2403403,326785102.52152693,8.559503417384231,-3019453718.9665747,-3031546994.0344863,1.5730816633524924,0.589,0.239,0.172,1.3220439514955256,170.57,"[[0, 1, 1, 0, 1, 0, 1, 0, 1, 0], [1, 0, 1, 0, 1, 0, 1, 0, 1, 1], [1, 0, 0, 1, 0, 1, 1, 1, 1, 0], [1, 1, 1, 1, 1, 0, 1, 0, 0, 0]]"
18,13,103,50,0.919091,12,0.638889,-3383346809.574538,-3381369925.2045555,-5.953424813011389,8719914.749752322,7353760.491311534,0.07475853236048391,330528085.2403403,325688985.49456775,8.522966183152258,-3019453718.9665747,-3022539215.6427865,1.5680773420237704,0.43,0.511,0.059,1.3111789324012013,170.57,"[[0, 1, 1, 1, 0, 0, 1, 0, 1, 0], [0, 0, 1, 1, 1, 0, 0, 1, 1, 1], [1, 0, 0, 1, 0, 1, 0, 1, 1, 1], [1, 0, 1, 1, 1, 1, 1, 0, 0, 0]]"
19,13,103,50,0.919091,12,0.638889,-3383346809.574538,-3376381545.585754,-5.940953863964385,8719914.749752322,8585534.001376437,0.09640657295916409,330528085.2403403,327098988.75824714,8.56996629194157,-3019453718.9665747,-3017053926.364251,1.5650299590912506,0.689,0.034,0.277,1.339068550797736,170.57,"[[0, 0, 1, 1, 1, 1, 0, 1, 0, 0], [1, 0, 0, 0, 0, 1, 1, 1, 1, 1], [1, 0, 1, 0, 1, 1, 1, 0, 1, 0], [1, 1, 0, 0, 1, 1, 1, 0, 1, 0]]"
20,13,103,50,0.919091,12,0.638889,-3383346809.574538,-3384777727.5967207,-5.961944318991802,8719914.749752322,8819507.985563455,0.10051859377088673,330528085.2403403,327444549.0014882,8.581484966716273,-3019453718.9665747,-3022279552.705792,1.5679330848365511,0.659,0.072,0.269,1.3386363907042227,170.57,"[[1, 0, 1, 1, 0, 0, 0, 0, 1, 1], [0, 1, 1, 0, 0, 1, 0, 1, 1, 1], [0, 0, 1, 1, 1, 1, 0, 0, 1, 1], [1, 1, 0, 1, 0, 1, 1, 1, 0, 0]]"
21,13,103,50,0.919091,12,0.638889,-3383346809.574538,-3387996416.0170703,-5.969991040042676,8719914.749752322,7979214.794932138,0.08575069938369312,330528085.2403403,325668143.57756907,8.522271452585636,-3019453718.9665747,-3027948475.1335053,1.5710824861852808,0.507,0.309,0.184,1.3102657882540827,170.57,"[[0, 1, 1, 0, 1, 0, 1, 0, 1, 0], [0, 0, 1, 0, 1, 0, 1, 1, 1, 1], [1, 0, 0, 1, 0, 1, 1, 1, 1, 0], [1, 0, 1, 1, 1, 0, 1, 1, 0, 0]]"
22,13,103,50,0.919091,12,0.638889,-3383346809.574538,-3384158126.7533,-5.96039531688325,8719914.749752322,9128488.761242423,0.1059488358742078,330528085.2403403,331910609.0075749,8.73035363358583,-3019453718.9665747,-3022750285.5306125,1.5681946030725624,0.534,0.264,0.202,1.393024370892446,170.57,"[[1, 1, 1, 0, 0, 0, 0, 0, 1, 1], [0, 0, 1, 1, 0, 0, 1, 1, 1, 1], [1, 1, 1, 1, 0, 0, 0, 1, 1, 0], [1, 1, 1, 0, 1, 0, 1, 0, 1, 0]]"
23,13,103,50,0.919091,12,0.638889,-3383346809.574538,-3384259152.5548024,-5.960647881387006,8719914.749752322,7448990.988805568,0.07643217906512421,330528085.2403403,323211079.41159314,8.44036931371977,-3019453718.9665747,-3024679929.684044,1.5692666276022467,0.646,0.063,0.291,1.2809155018911909,170.57,"[[0, 1, 1, 1, 0, 0, 1, 0, 1, 0], [0, 1, 1, 0, 1, 1, 0, 1, 1, 0], [1, 1, 0, 1, 0, 1, 0, 0, 1, 1], [0, 1, 1, 0, 1, 1, 1, 1, 0, 0]]"
24,13,103,50,0.919091,12,0.638889,-3383346809.574538,-3384016155.65559,-5.9600403891389755,8719914.749752322,8012012.99832816,0.08632711772105729,330528085.2403403,322755617.09464484,8.425187236488162,-3019453718.9665747,-3026492540.7854733,1.5702736337697074,0.488,0.334,0.177,1.2794209272225272,170.57,"[[0, 1, 0, 1, 1, 1, 0, 1, 0, 0], [1, 0, 0, 1, 0, 1, 1, 1, 0, 1], [0, 1, 0, 0, 1, 1, 1, 1, 1, 0], [0, 1, 0, 0, 1, 1, 1, 1, 1, 0]]"
25,13,103,50,0.919091,12,0.638889,-3383346809.574538,-3388660489.132137,-5.971651222830342,8719914.749752322,8451383.318994839,0.09404891597530472,330528085.2403403,331267628.28909993,8.708920942969998,-3019453718.9665747,-3026663467.009595,1.5703685927831084,0.315,0.635,0.05,1.377980413975649,170.57,"[[1, 1, 1, 1, 0, 0, 0, 1, 0, 0], [1, 1, 1, 1, 1, 0, 1, 0, 0, 0], [1, 0, 1, 0, 1, 0, 1, 0, 1, 1], [1, 0, 0, 0, 1, 1, 0, 1, 1, 1]]"
26,13,103,50,0.919091,12,0.638889,-3383346809.574538,-3382347940.8957295,-5.955869852239323,8719914.749752322,7187306.209395561,0.07183314955000987,330528085.2403403,324647549.45321167,8.48825164844039,-3019453718.9665747,-3023575829.972636,1.5686532388736867,0.586,0.153,0.261,1.2972955531545816,170.57,"[[0, 1, 1, 1, 1, 0, 1, 0, 0, 0], [1, 0, 0, 0, 0, 1, 1, 1, 1, 1], [1, 1, 1, 0, 1, 1, 0, 0, 0, 1], [1, 0, 0, 1, 1, 1, 1, 1, 0, 0]]"
27,13,103,50,0.919091,12,0.638889,-3383346809.574538,-3386824569.8327003,-5.96706142458175,8719914.749752322,8093223.696125684,0.08775437075792064,330528085.2403403,324544507.7464247,8.484816924880823,-3019453718.9665747,-3031411718.9074297,1.5730065105041275,0.465,0.351,0.184,1.298761516270347,170.57,"[[0, 1, 0, 1, 0, 1, 0, 0, 1, 1], [0, 1, 1, 0, 0, 1, 1, 0, 1, 1], [0, 1, 0, 1, 0, 1, 1, 0, 1, 1], [0, 0, 0, 1, 1, 1, 1, 1, 0, 1]]"
28,13,103,50,0.919091,12,0.638889,-3383346809.574538,-3383277172.755929,-5.958192931889823,8719914.749752322,8794952.972058937,0.100087046960614,330528085.2403403,329053230.0181536,8.635107667271788,-3019453718.9665747,-3017563342.9843955,1.5653129683246643,0.444,0.38,0.176,1.3582577294556897,170.57,"[[1, 1, 1, 0, 1, 1, 0, 0, 0, 0], [0, 1, 1, 1, 1, 1, 1, 0, 0, 0], [1, 1, 1, 0, 1, 0, 1, 1, 0, 0], [1, 0, 0, 0, 0, 1, 1, 1, 1, 1]]"
29,13,103,50,0.919091,12,0.638889,-3383346809.574538,-3377670962.5661583,-5.944177406415395,8719914.749752322,8152947.637983744,0.08880400066755262,330528085.2403403,328166710.6293669,8.605557020978896,-3019453718.9665747,-3014470614.2698956,1.5635947857054975,0.296,0.633,0.072,1.3477840851446543,170.57,"[[0, 1, 1, 1, 0, 0, 0, 0, 1, 1], [1, 0, 1, 1, 1, 1, 0, 1, 0, 0], [1, 0, 0, 1, 1, 0, 1, 1, 1, 0], [1, 1, 1, 0, 1, 1, 0, 0, 1, 0]]"
30,13,103,50,0.919091,12,0.638889,-3383346809.574538,-3383354346.040431,-5.958385865101078,8719914.749752322,8524612.311777487,0.09533589300136182,330528085.2403403,315569292.5785556,8.185643085951853,-3019453718.9665747,-3029819659.3700314,1.5721220329833507,0.508,0.231,0.261,1.1995961240399902,170.57,"[[0, 1, 1, 0, 1, 1, 0, 0, 0, 1], [0, 0, 0, 1, 1, 1, 1, 0, 1, 1], [0, 1, 0, 1, 0, 1, 0, 1, 1, 1], [0, 1, 0, 0, 1, 1, 1, 1, 0, 1]]"
