solution index,tabu size,T,Tf,alpha,K,neighbor_percentage,greedy Z1,hybrid Z1,normalized hybrid Z1,greedy Z2,hybrid Z2,normalized hybrid Z2,greedy Z3,hybrid Z3,normalized hybrid Z3,greedy multi objective value,hybrid multi objective value,normalized hybrid multi objective value,w1,w2,w3,weighted multi objective value,optimization running time,open/close status of facilities
1,13,103,50,0.919091,12,0.638889,-821306022.9903148,-822378633.9368459,0.44405341515788527,3296703.9437232222,3381853.30342238,0.004953485121658696,86277474.0484058,81385855.46305943,0.3795285154353142,-729264340.3067745,-735045038.6658192,0.29724724370323286,0.27,0.652,0.078,0.303156591316459,2.81,"[[0, 1, 1], [1, 0, 1], [1, 1, 0], [0, 1, 1]]"
2,13,103,50,0.919091,12,0.638889,-821306022.9903148,-826690235.4265771,0.43327441143355727,3296703.9437232222,3268381.8718218706,0.002959259610226196,86277474.0484058,82903437.58529481,0.4301145861764938,-729264340.3067745,-736468004.7287364,0.29803778040485357,0.368,0.622,0.01,0.31436007557696133,2.81,"[[1, 1, 0], [1, 0, 1], [1, 0, 1], [1, 0, 1]]"
3,13,103,50,0.919091,12,0.638889,-821306022.9903148,-822719933.7063857,0.44320016573403564,3296703.9437232222,3102534.261149448,4.453886027149168e-05,86277474.0484058,88008767.57985474,0.6002922526618247,-729264340.3067745,-728230305.5847027,0.2934612808803904,0.233,0.639,0.128,0.371887899700589,2.81,"[[1, 0, 1], [0, 1, 1], [0, 1, 1], [0, 1, 1]]"
4,13,103,50,0.919091,12,0.638889,-821306022.9903148,-822639279.0674001,0.44340180233149973,3296703.9437232222,3257186.307683321,0.002762501013766629,86277474.0484058,83325249.35636878,0.444174978545626,-729264340.3067745,-732297976.619932,0.2957210981221845,0.035,0.462,0.503,0.3229132769827471,2.81,"[[0, 1, 1], [0, 1, 1], [0, 1, 1], [0, 1, 1]]"
5,13,103,50,0.919091,12,0.638889,-821306022.9903148,-824182513.1114672,0.4395437172213319,3296703.9437232222,3334965.145381951,0.004129440164884899,86277474.0484058,84361463.45672818,0.47871544855760584,-729264340.3067745,-729640535.3491427,0.2942447418606348,0.394,0.468,0.139,0.3327359876041368,2.81,"[[0, 1, 1], [1, 0, 1], [0, 1, 1], [1, 1, 0]]"
6,13,103,50,0.919091,12,0.638889,-821306022.9903148,-827812868.7077081,0.4304678282307297,3296703.9437232222,3118368.0819573356,0.00032281339116582746,86277474.0484058,88296417.03726771,0.6098805679089239,-729264340.3067745,-732321280.6418031,0.29573404480100174,0.205,0.536,0.259,0.3698407581220331,2.81,"[[1, 0, 1], [0, 1, 1], [1, 1, 0], [1, 0, 1]]"
7,13,103,50,0.919091,12,0.638889,-821306022.9903148,-826450663.3141019,0.4338733417147452,3296703.9437232222,3122667.9369949806,0.00039838202100141574,86277474.0484058,87051471.39731799,0.5683823799105997,-729264340.3067745,-731305050.3800986,0.2951694724333881,0.08,0.524,0.396,0.358009585943137,2.81,"[[1, 0, 1], [1, 1, 0], [1, 0, 1], [1, 0, 1]]"
8,13,103,50,0.919091,12,0.638889,-821306022.9903148,-826181228.1818366,0.43454692954540847,3296703.9437232222,3277319.983528854,0.0031163441744965527,86277474.0484058,88057515.5095874,0.6019171836529136,-729264340.3067745,-730634101.245548,0.29479672291419334,0.441,0.447,0.112,0.3697260602140727,2.81,"[[0, 1, 1], [1, 1, 0], [1, 0, 1], [1, 0, 1]]"
9,13,103,50,0.919091,12,0.638889,-821306022.9903148,-821543071.4180287,0.4461423214549282,3296703.9437232222,3142051.897189349,0.0007390491597425121,86277474.0484058,85263017.93391475,0.508767264463825,-729264340.3067745,-729935271.0010139,0.2944084838894522,0.475,0.428,0.097,0.34407918166588536,2.81,"[[1, 0, 1], [1, 1, 0], [1, 0, 1], [0, 1, 1]]"
10,13,103,50,0.919091,12,0.638889,-821306022.9903148,-822547011.883911,0.44363247029022246,3296703.9437232222,3241240.853322722,0.002482264557517083,86277474.0484058,86537479.203737,0.5512493067912335,-729264340.3067745,-726764327.372705,0.29264684854039164,0.06,0.507,0.433,0.3570870847632837,2.81,"[[1, 1, 0], [1, 1, 0], [1, 1, 0], [1, 1, 0]]"
11,13,103,50,0.919091,12,0.638889,-821306022.9903148,-820441705.3480142,0.4488957366299644,3296703.9437232222,3286633.541742873,0.0032800270956568176,86277474.0484058,86917149.8313601,0.56390499437867,-729264340.3067745,-726133134.8550727,0.292296186030596,0.555,0.404,0.041,0.3634849854394012,2.81,"[[0, 1, 1], [1, 1, 0], [0, 1, 1], [0, 1, 1]]"
12,13,103,50,0.919091,12,0.638889,-821306022.9903148,-824469565.2852389,0.4388260867869028,3296703.9437232222,3301242.833999973,0.003536780913883529,86277474.0484058,83454292.75594033,0.4484764251980111,-729264340.3067745,-732837816.3878001,0.2960210091043334,0.514,0.37,0.116,0.3226352749308391,2.81,"[[1, 1, 0], [1, 0, 1], [1, 1, 0], [1, 1, 0]]"
13,13,103,50,0.919091,12,0.638889,-821306022.9903148,-824907486.077287,0.4377312848067826,3296703.9437232222,3211793.6192631703,0.0019647384756268944,86277474.0484058,84397937.7085814,0.47993125695271344,-729264340.3067745,-732558216.6857691,0.2958656759365384,0.295,0.326,0.379,0.3317930422265979,2.81,"[[1, 1, 0], [0, 1, 1], [1, 1, 0], [1, 1, 0]]"
14,13,103,50,0.919091,12,0.638889,-821306022.9903148,-829381801.0723954,0.42654549731901137,3296703.9437232222,3362530.8755037584,0.004613899393739164,86277474.0484058,81688639.2461952,0.3896213082065066,-729264340.3067745,-737757893.6005414,0.2987543853336341,0.235,0.222,0.543,0.29915742316059774,2.81,"[[0, 1, 1], [0, 1, 1], [1, 1, 0], [1, 1, 1]]"
15,13,103,50,0.919091,12,0.638889,-821306022.9903148,-822285093.4299991,0.4442872664250022,3296703.9437232222,3202053.8778665992,0.0017935655161089499,86277474.0484058,85239264.40941344,0.5079754803137814,-729264340.3067745,-730712925.261047,0.294840514033915,0.051,0.373,0.576,0.343360532606486,2.81,"[[1, 0, 1], [1, 0, 1], [1, 0, 1], [0, 1, 1]]"
16,13,103,50,0.919091,12,0.638889,-821306022.9903148,-825329259.0223186,0.4366768524442035,3296703.9437232222,3208379.89114462,0.0019047432538597503,86277474.0484058,86941278.69655105,0.5647092898850351,-729264340.3067745,-730851720.7372332,0.2949176226317962,0.375,0.347,0.278,0.3583916420696746,2.81,"[[1, 1, 0], [1, 1, 0], [1, 0, 1], [1, 0, 1]]"
17,13,103,50,0.919091,12,0.638889,-821306022.9903148,-827037798.1266901,0.4324055046832746,3296703.9437232222,3337321.9642061046,0.004170860530862999,86277474.0484058,83322691.09823294,0.4440897032744313,-729264340.3067745,-736275663.4902198,0.29793092416123323,0.427,0.254,0.319,0.3187964715360928,2.81,"[[0, 1, 1], [1, 0, 1], [1, 0, 1], [1, 0, 1]]"
18,13,103,50,0.919091,12,0.638889,-821306022.9903148,-822204438.7910135,0.4444889030224663,3296703.9437232222,3356705.924400473,0.004511527669604095,86277474.0484058,81529920.16968124,0.38433067232270784,-729264340.3067745,-734979057.6251838,0.29721058756954655,0.516,0.215,0.269,0.30474462658255913,2.81,"[[0, 1, 1], [1, 0, 1], [1, 0, 1], [0, 1, 1]]"
19,13,103,50,0.919091,12,0.638889,-821306022.9903148,-826173493.3518728,0.434566266620318,3296703.9437232222,3147815.3160168873,0.0008403394730560161,86277474.0484058,86683549.7884444,0.55611832628148,-729264340.3067745,-730905360.1688993,0.29494742231605514,0.382,0.266,0.352,0.3545004696138789,2.81,"[[1, 0, 1], [1, 1, 0], [1, 1, 0], [1, 0, 1]]"
20,13,103,50,0.919091,12,0.638889,-821306022.9903148,-822872318.547656,0.44281920363085986,3296703.9437232222,3292404.0886855773,0.0033814426834020608,86277474.0484058,81844450.33259255,0.39481501108641825,-729264340.3067745,-735034117.2074776,0.2972411762263764,0.639,0.13,0.231,0.30709991970957956,2.81,"[[0, 1, 1], [0, 1, 1], [1, 1, 0], [0, 1, 1]]"
21,13,103,50,0.919091,12,0.638889,-821306022.9903148,-825390917.6067396,0.4365227059831509,3296703.9437232222,3126081.665113531,0.0004583772427685598,86277474.0484058,89135831.00136411,0.6378610333788037,-729264340.3067745,-728612606.6043012,0.2936736703357229,0.407,0.274,0.319,0.38126800634749936,2.81,"[[1, 0, 1], [0, 1, 1], [1, 1, 0], [1, 1, 0]]"
22,13,103,50,0.919091,12,0.638889,-821306022.9903148,-821695786.6213447,0.4457605334466383,3296703.9437232222,3346635.5224201237,0.004334543452023263,86277474.0484058,82738694.2586512,0.4246231419550399,-729264340.3067745,-732027088.7321646,0.29557060485120257,0.189,0.059,0.751,0.31806698430229385,2.81,"[[0, 1, 1], [1, 0, 1], [0, 1, 1], [0, 1, 1]]"
23,13,103,50,0.919091,12,0.638889,-821306022.9903148,-824798594.3913147,0.4380035140217131,3296703.9437232222,3370182.926384207,0.004748381834520332,86277474.0484058,83873546.26887846,0.46245154229594865,-729264340.3067745,-732645475.1492835,0.2959141528607131,0.004,0.123,0.873,0.32709052882190337,2.81,"[[0, 1, 1], [1, 0, 1], [1, 1, 0], [1, 1, 0]]"
24,13,103,50,0.919091,12,0.638889,-821306022.9903148,-826654332.5166988,0.4333641687082529,3296703.9437232222,3323038.017179076,0.00391982455499255,86277474.0484058,84418540.99708407,0.48061803323613556,-729264340.3067745,-731909204.5651668,0.2955051136473149,0.776,0.053,0.171,0.3307704011946541,2.81,"[[1, 1, 0], [1, 1, 0], [1, 1, 0], [1, 1, 1]]"
25,13,103,50,0.919091,12,0.638889,-821306022.9903148,-827329437.1782554,0.4316764070543614,3296703.9437232222,3204080.036106975,0.001829174624024162,86277474.0484058,83558523.744485,0.4519507914828335,-729264340.3067745,-736233062.781456,0.2979072571008089,0.31,0.007,0.683,0.32036579400113163,2.81,"[[1, 1, 0], [0, 1, 1], [1, 1, 0], [1, 0, 1]]"
26,13,103,50,0.919091,12,0.638889,-821306022.9903148,-824912473.4052223,0.4377188164869443,3296703.9437232222,3186646.2402412635,0.001522781023572294,86277474.0484058,84076096.80662511,0.46920322688750377,-729264340.3067745,-732594081.3410664,0.2958856007450369,0.318,0.014,0.668,0.3282446296877588,2.81,"[[1, 1, 0], [0, 1, 1], [1, 0, 1], [1, 1, 0]]"
27,13,103,50,0.919091,12,0.638889,-821306022.9903148,-825565092.9640677,0.43608726758983074,3296703.9437232222,3267249.5815485045,0.002939359956915721,86277474.0484058,89728972.78304167,0.6576324261013891,-729264340.3067745,-727403807.3816055,0.29300211521200303,0.491,0.055,0.454,0.3880776464635991,2.81,"[[0, 1, 1], [1, 1, 0], [0, 1, 1], [1, 0, 1]]"
